probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1.0,0.72165,1,2,2,1,1,1,1,True,sub-STSWD1117,33964,8,33964.0,-1.1549770890459532,-0.34510967234444156,-0.5759269383193875,1st,2nd,2nd,-1.1896506904453836,-0.31970293339417105,-0.30266708760987315
1.0,0.82361,2,2,2,1,1,1,1,True,sub-STSWD1117,36396,8,36396.0,-0.771390240581592,0.11672272384324898,-0.26149171788845493,1st,3rd,2nd,-1.1896506904453836,0.2310303470787792,-0.30266708760987315
1.0,1.6715,2,2,1,1,1,1,1,False,sub-STSWD1117,38828,8,38828.0,,,,,,,,,
0.0,1.4884,2,2,1,1,1,1,1,True,sub-STSWD1117,41260,8,41260.0,-0.5954105122874078,,-0.2885574621873481,1st,,2nd,-1.1896506904453836,,-0.30266708760987315
0.0,0.92432,2,2,1,1,1,1,1,True,sub-STSWD1117,43692,8,43692.0,-0.7744385880871959,0.02625827465255087,0.6674004461073891,1st,3rd,3rd,-1.1896506904453836,0.2310303470787792,0.4135440755669983
1.0,1.1923,1,2,1,1,1,1,1,True,sub-STSWD1117,46124,8,46124.0,-0.3266427930229234,0.4971402043842203,1.0526102743076464,2nd,3rd,4th,-0.2974868301304781,0.2310303470787792,1.1996708374367313
1.0,1.2142,2,2,1,1,1,1,1,True,sub-STSWD1117,48556,8,48556.0,-0.055031170056668674,0.8248895392564074,1.376308321109866,2nd,4th,4th,-0.2974868301304781,1.2321201508000914,1.1996708374367313
1.0,0.93956,1,2,2,1,1,1,1,True,sub-STSWD1117,50992,8,50992.0,-0.5776319500550551,-1.2729059192762642,1.172149529434466,2nd,1st,4th,-0.2974868301304781,-1.144855065854786,1.1996708374367313
1.0,0.61344,2,1,1,1,1,1,1,True,sub-STSWD1117,55472,8,55472.0,-0.03524145609458502,0.5157593486601343,-1.4610295319511903,3rd,3rd,1st,0.29581311266912874,0.2310303470787792,-1.2900705156220775
1.0,0.35636,2,1,2,1,1,1,1,True,sub-STSWD1117,57904,8,57904.0,-0.6680306928796875,-1.317605670599617,-0.42442986263501375,1st,1st,2nd,-1.1896506904453836,-1.144855065854786,-0.30266708760987315
