seed,signal,diagnostic,pooled_corr,within_subject_mean_corr
0,aligned_z2,slope_vs_log_RT,-0.0755439415566915,-0.08553996052358515
0,aligned_z3,slope_vs_log_RT,-0.08451080750018836,-0.09299724594903315
1,aligned_z2,slope_vs_log_RT,-0.05808400230100371,-0.0628953754113747
1,aligned_z3,slope_vs_log_RT,-0.08347088988992905,-0.0943814587246608
2,aligned_z2,slope_vs_log_RT,-0.05579710653414145,-0.0617212997482576
2,aligned_z3,slope_vs_log_RT,-0.07104997184970112,-0.07696849451653412
3,aligned_z2,slope_vs_log_RT,-0.08103565123701777,-0.08843711534027182
3,aligned_z3,slope_vs_log_RT,-0.07959921237134185,-0.088940029771516
4,aligned_z2,slope_vs_log_RT,-0.061115519161534834,-0.072810769036146
4,aligned_z3,slope_vs_log_RT,-0.060891022641266904,-0.06621936144439305
