seed,model,subject_aware_balanced_accuracy
0,baseline,0.5102563428006188
0,CPP-only,0.5115294044741898
0,z-only,0.5070603593522913
0,CPP + z,0.5055735032931468
0,All-z,0.5027619638917242
0,Full,0.507382074010156
1,baseline,0.5102563428006188
1,CPP-only,0.5117844728100545
1,z-only,0.5173710715208574
1,CPP + z,0.5086720895726567
1,All-z,0.5032587712990537
1,Full,0.4994105308204162
2,baseline,0.5102563428006188
2,CPP-only,0.5117844728100545
2,z-only,0.5255688029735952
2,CPP + z,0.514041853890216
2,All-z,0.5061325139343429
2,Full,0.5023722582930825
3,baseline,0.5102563428006188
3,CPP-only,0.5124661360684049
3,z-only,0.5129455803550027
3,CPP + z,0.5121492737304753
3,All-z,0.5068763804265598
3,Full,0.5079846386073958
4,baseline,0.5102563428006188
4,CPP-only,0.5115294044741898
4,z-only,0.5058241285408782
4,CPP + z,0.49824451249384694
4,All-z,0.5012906586410464
4,Full,0.5019745434434635
