seed,raw_latent_index,aligned_latent_index,correlation_with_reference_latent,correlation_with_CPP_late_mean,correlation_with_CPP_slope,sign_flipped
0,1,3,-0.9678460359573364,0.8791949152946472,0.8887356415032881,False
0,2,4,-0.8767282962799072,0.8696986436843872,0.8655641535430332,False
0,3,1,-0.8832817077636719,0.9060792922973633,0.9105956760395753,False
0,4,5,-0.8594859838485718,0.8832725286483765,0.879777253670553,False
0,5,2,-0.931354284286499,0.9438457489013672,0.9487459846516813,False
1,1,1,0.8848324418067932,0.8963297605514526,0.8950243978169568,True
1,2,3,0.94440758228302,0.9370585680007935,0.9405975827060413,True
1,3,2,0.9837504625320435,0.9418936967849731,0.943193382048273,True
1,4,4,0.9853037595748901,0.8009903430938721,0.8072562054167781,True
1,5,5,0.859688401222229,0.8081629276275635,0.805559618092673,True
2,1,1,1.0,0.8996148109436035,0.9008309158797245,True
2,2,2,1.0,0.9166853427886963,0.9148388509078249,True
2,3,3,1.0,0.907474160194397,0.9117009153862409,True
2,4,4,1.0,0.8344595432281494,0.8394142104843698,True
2,5,5,0.9999998807907104,0.6377670764923096,0.6503229307012297,True
3,1,3,-0.9813535213470459,0.9279135465621948,0.9338941896148746,False
3,2,5,-0.8966498374938965,0.8451617956161499,0.8616631185822206,False
3,3,4,-0.9705535173416138,0.8872508406639099,0.8899294473696036,False
3,4,2,-0.7672956585884094,0.7792766690254211,0.7859698676970872,False
3,5,1,-0.9599729776382446,0.9201722145080566,0.9225998724010492,False
4,1,3,-0.9890772700309753,0.9192521572113037,0.9190813085800902,False
4,2,4,-0.9686738848686218,0.8687974810600281,0.8715807359235949,False
4,3,2,-0.9294694662094116,0.9502129554748535,0.9489508975319032,False
4,4,5,-0.7923879027366638,0.7602106928825378,0.7401513309603514,False
4,5,1,-0.9125871658325195,0.9311544895172119,0.934573695139735,False
