seed,model,fold,cv_r2,rmse,mae,n_test_subjects,n_test_trials,delta_r2_vs_cpp_only
0,baseline,1,0.04844258260989498,0.2984053727260659,0.24799386806876703,8,1434,-0.049498693635169455
0,baseline,2,0.031665278642812655,0.27131094828270325,0.2248654263708849,9,1543,-0.06627599760225178
0,baseline,3,0.05281374151946805,0.29214955136418985,0.23676151782589902,8,1432,-0.045127534725596385
0,baseline,4,0.049403082387079245,0.2534448395829877,0.21293564076677163,8,1453,-0.04853819385798519
0,baseline,5,0.054330455329260285,0.28846932802549397,0.2396034663266513,8,1435,-0.04361082091580415
0,baseline,pooled,0.055373352769649276,0.2810149530282976,0.23226798868582138,41,7297,-0.04256792347541516
0,CPP-only,1,0.12102275402776208,0.2867992129076116,0.23613676672737094,8,1434,0.023081477782697646
0,CPP-only,2,0.08172565533704912,0.26420485414486783,0.21690351310149192,9,1543,-0.016215620908015316
0,CPP-only,3,0.0901296322487859,0.28633688101537763,0.2285964051281299,8,1432,-0.007811643996278539
0,CPP-only,4,0.10411670403830453,0.24604297614306778,0.20413760770755424,8,1453,0.006175427793240096
0,CPP-only,5,0.05566592909285617,0.28826556798716246,0.23543669907621967,8,1435,-0.042275347152208265
0,CPP-only,pooled,0.09794127624506443,0.27461024705058135,0.22408056783878105,41,7297,0.0
0,z-only,1,0.1514382944978192,0.281793423388054,0.2306272755801942,8,1434,0.05349701825275477
0,z-only,2,0.1269497282020684,0.2576168069240968,0.20920264319304002,9,1543,0.029008451957003967
0,z-only,3,0.11470879459201533,0.28244286246860345,0.225267547701046,8,1432,0.016767518346950894
0,z-only,4,0.12738595888662207,0.24282665116002236,0.19878282736197006,8,1453,0.02944468264155764
0,z-only,5,0.07658830944119377,0.2850543190821698,0.2318802972395114,8,1435,-0.021352966803870665
0,z-only,pooled,0.12660313813302793,0.2702123204465789,0.2189505268784978,41,7297,0.02866186188796349
0,CPP + z,1,0.15003948718036497,0.28202558823240864,0.2306729766430579,8,1434,0.05209821093530054
0,CPP + z,2,0.12453796185838073,0.25797238956873825,0.2095927484038455,9,1543,0.026596685613316295
0,CPP + z,3,0.11333108143453396,0.28266254948879843,0.22564736138257302,8,1432,0.01538980518946953
0,CPP + z,4,0.12592288125078,0.2430301348493125,0.19855581533734315,8,1453,0.02798160500571556
0,CPP + z,5,0.06274375888475814,0.28718325394742267,0.23335236791803807,8,1435,-0.035197517360306296
0,CPP + z,pooled,0.12243897059672337,0.27085571145285553,0.21936082341245272,41,7297,0.02449769435165894
0,All-z,1,0.13830163695393816,0.2839662803832128,0.23107876506666203,8,1434,0.04036036070887372
0,All-z,2,0.10424181600271443,0.2609455886639755,0.21279025025202192,9,1543,0.006300539757649992
0,All-z,3,0.12125783220277264,0.28139622237863277,0.22353939131990724,8,1432,0.023316555957708207
0,All-z,4,0.14258384706055505,0.24070276689719014,0.1966003138194497,8,1453,0.04464257081549061
0,All-z,5,0.07837750738191462,0.28477802525898765,0.23130342044794905,8,1435,-0.01956376886314981
0,All-z,pooled,0.12354887401124826,0.27068437362949593,0.21891070000507573,41,7297,0.02560759776618382
0,Full,1,0.13127256529679987,0.28512211718129116,0.23153307535523424,8,1434,0.033331289051735435
0,Full,2,0.1075697926472402,0.2604603969321281,0.21238335402756808,9,1543,0.009628516402175769
0,Full,3,0.11780374988596332,0.28194872372349944,0.22438160079063635,8,1432,0.01986247364089888
0,Full,4,0.1370997274459096,0.2414713194272528,0.19742288035901653,8,1453,0.03915845120084516
0,Full,5,0.06703294965054818,0.28652537822362056,0.23280461215747428,8,1435,-0.030908326594516256
0,Full,pooled,0.11868087925120585,0.2714350518217837,0.21953822958253547,41,7297,0.020739603006141416
1,baseline,1,0.04844258260989498,0.2984053727260659,0.24799386806876703,8,1434,-0.04961867049322666
1,baseline,2,0.031665278642812655,0.27131094828270325,0.2248654263708849,9,1543,-0.06639597446030898
1,baseline,3,0.05281374151946805,0.29214955136418985,0.23676151782589902,8,1432,-0.04524751158365359
1,baseline,4,0.049403082387079245,0.2534448395829877,0.21293564076677163,8,1453,-0.04865817071604239
1,baseline,5,0.054330455329260285,0.28846932802549397,0.2396034663266513,8,1435,-0.04373079777386135
1,baseline,pooled,0.055373352769649276,0.2810149530282976,0.23226798868582138,41,7297,-0.04268790033347236
1,CPP-only,1,0.12112355707318101,0.2867827670535596,0.23610906057489048,8,1434,0.023062303970059372
1,CPP-only,2,0.0816883477297341,0.2642102211416115,0.21690665063625084,9,1543,-0.016372905373387536
1,CPP-only,3,0.09014038912296785,0.2863351884122248,0.22859008309259443,8,1432,-0.007920863980153792
1,CPP-only,4,0.1041534035795062,0.24603793655986692,0.20413174544188156,8,1453,0.006092150476384561
1,CPP-only,5,0.056133531641595735,0.28819418943113995,0.23538301270514292,8,1435,-0.0419277214615259
1,CPP-only,pooled,0.09806125310312164,0.27459198439796906,0.22406282076793987,41,7297,0.0
1,z-only,1,0.1404423260509804,0.2836133369679746,0.23280137424360908,8,1434,0.042381072947858756
