seed,cpp_feature,z_feature,subject_level_corr,mean_within_subject_corr
0,CPP_late_mean,aligned_z1_late_mean,0.9116578698158264,0.942160955289515
0,CPP_late_mean,aligned_z1_slope,0.05247424805396872,0.5161732682532931
0,CPP_late_mean,aligned_z1_peak,0.7253024578094482,0.5024457726536727
0,CPP_late_mean,aligned_z1_peak_time,0.05714421719312668,0.32155159842677233
0,CPP_late_mean,aligned_z2_late_mean,0.9845035672187805,0.9539409904945187
0,CPP_late_mean,aligned_z2_slope,-0.005802565981788632,0.5126505099938644
0,CPP_late_mean,aligned_z2_peak,0.7185045480728149,0.5234748183227167
0,CPP_late_mean,aligned_z2_peak_time,0.0742211639881134,0.3179025235699444
0,CPP_late_mean,aligned_z3_late_mean,0.9661417603492737,0.8911342933410551
0,CPP_late_mean,aligned_z3_slope,0.1000078356551383,0.49093570110812185
0,CPP_late_mean,aligned_z3_peak,0.7068141102790833,0.4900394396447554
0,CPP_late_mean,aligned_z3_peak_time,0.30273544788360596,0.31881406848750465
0,CPP_late_mean,aligned_z4_late_mean,0.9550326466560364,0.8877776715813613
0,CPP_late_mean,aligned_z4_slope,-0.0652145338078369,0.5009208711933453
0,CPP_late_mean,aligned_z4_peak,0.6777732372283936,0.4970246662453907
0,CPP_late_mean,aligned_z4_peak_time,0.10150881111621857,0.3142370708831927
0,CPP_late_mean,aligned_z5_late_mean,0.9583797454833984,0.8927396419571667
0,CPP_late_mean,aligned_z5_slope,-0.10787645790793156,0.48009732945822403
0,CPP_late_mean,aligned_z5_peak,0.6699031591415405,0.4917254644196208
0,CPP_late_mean,aligned_z5_peak_time,0.14743661880493164,0.2800482551499111
0,CPP_slope,aligned_z1_late_mean,-0.016365720192202973,0.4668310951534726
0,CPP_slope,aligned_z1_slope,0.959116033281594,0.9298615014166146
0,CPP_slope,aligned_z1_peak,-0.25113458357976204,-0.04602497633709402
0,CPP_slope,aligned_z1_peak_time,0.5484811240298846,0.25182038895574216
0,CPP_slope,aligned_z2_late_mean,-0.06405943595623054,0.48726096378940126
0,CPP_slope,aligned_z2_slope,0.9812979768534564,0.948672826990966
0,CPP_slope,aligned_z2_peak,-0.2122220392928221,-0.03551861548732102
0,CPP_slope,aligned_z2_peak_time,0.5477704635795212,0.251217358647649
0,CPP_slope,aligned_z3_late_mean,-0.11156727561709506,0.45233873378474587
0,CPP_slope,aligned_z3_slope,0.9529376880288742,0.8855893363543242
0,CPP_slope,aligned_z3_peak,-0.23109248177904643,-0.026646672077589854
0,CPP_slope,aligned_z3_peak_time,0.512437862663907,0.2359763673442022
0,CPP_slope,aligned_z4_late_mean,-0.03630933445958323,0.4286316781293949
0,CPP_slope,aligned_z4_slope,0.9400459304762109,0.881684924360903
0,CPP_slope,aligned_z4_peak,-0.2647080663319835,-0.04681904274434782
0,CPP_slope,aligned_z4_peak_time,0.5722995519520584,0.24031204226652184
0,CPP_slope,aligned_z5_late_mean,-0.1355169519494233,0.4490612709691052
0,CPP_slope,aligned_z5_slope,0.9045689239609748,0.8874392307477456
0,CPP_slope,aligned_z5_peak,-0.2390786414892195,-0.0361309984948964
0,CPP_slope,aligned_z5_peak_time,0.4670735241731654,0.2136415068274761
0,CPP_peak,aligned_z1_late_mean,0.44317591190338135,0.4621299098177654
0,CPP_peak,aligned_z1_slope,-0.09678239750808061,-0.0037622438182587743
0,CPP_peak,aligned_z1_peak,0.9564806222915649,0.8228289906571551
0,CPP_peak,aligned_z1_peak_time,-0.2357846051454544,-0.011283858151106937
0,CPP_peak,aligned_z2_late_mean,0.7690209746360779,0.5105814454032154
0,CPP_peak,aligned_z2_slope,-0.19875358287334732,-0.02602660219679496
0,CPP_peak,aligned_z2_peak,0.9815473556518555,0.9431213940062174
0,CPP_peak,aligned_z2_peak_time,-0.23449759185314178,-0.02342728752552009
0,CPP_peak,aligned_z3_late_mean,0.6631186604499817,0.45485957548385714
0,CPP_peak,aligned_z3_slope,-0.11394859757454545,-0.016584679703375578
0,CPP_peak,aligned_z3_peak,0.9047933220863342,0.781704678404622
0,CPP_peak,aligned_z3_peak_time,0.02495490573346615,0.009412062127234005
