subject_id,n_trials
sub-STSWD1117,166
sub-STSWD1118,159
sub-STSWD1120,153
sub-STSWD1124,192
sub-STSWD1126,209
sub-STSWD1131,173
sub-STSWD1132,203
sub-STSWD1135,181
sub-STSWD1136,215
sub-STSWD1151,170
sub-STSWD1160,222
sub-STSWD1164,180
sub-STSWD1167,215
sub-STSWD1169,211
sub-STSWD1172,235
sub-STSWD1173,235
sub-STSWD1178,210
sub-STSWD1182,200
sub-STSWD1215,170
sub-STSWD1216,161
sub-STSWD1219,180
sub-STSWD1223,166
sub-STSWD1227,228
sub-STSWD1233,164
sub-STSWD1234,118
sub-STSWD1237,170
sub-STSWD1239,147
sub-STSWD1240,172
sub-STSWD1243,201
sub-STSWD1245,177
sub-STSWD1247,119
sub-STSWD1250,164
sub-STSWD1252,183
sub-STSWD1257,115
sub-STSWD1261,166
sub-STSWD1265,120
sub-STSWD1266,119
sub-STSWD1268,164
sub-STSWD1270,151
sub-STSWD1276,189
sub-STSWD1281,224
