window,contrast,mean_delta_r2,ci_lower,ci_upper,n_folds,model_version
early (-600 to -300 ms),baseline+z - baseline,0.0217081449330229,-0.0374962908857577,0.0599543010363597,5,no_prior
early (-600 to -300 ms),baseline+shuffled-z - baseline,-0.0007527215964127,-0.0015789833233549,0.0001209154173731,5,no_prior
early (-600 to -300 ms),baseline+cpp+z - baseline+cpp,0.0096739937550868,-0.0252322355938928,0.034520524831327,5,no_prior
mid (-300 to -120 ms),baseline+z - baseline,0.0001676763111461,-0.0351371671902488,0.0242983011863607,5,no_prior
mid (-300 to -120 ms),baseline+shuffled-z - baseline,-0.0005691725716474,-0.0026648430686264,0.0010952619824734,5,no_prior
mid (-300 to -120 ms),baseline+cpp+z - baseline+cpp,0.005696106285221,-0.0024621011510501,0.0142043238513554,5,no_prior
late (-120 to -50 ms),baseline+z - baseline,0.0200768787975628,0.0075564431721918,0.032380477035938,5,no_prior
late (-120 to -50 ms),baseline+shuffled-z - baseline,-0.0009623181375306,-0.0015391121995768,-0.000416853264966,5,no_prior
late (-120 to -50 ms),baseline+cpp+z - baseline+cpp,0.0020890993732378,-0.0032905897464499,0.0073519871308885,5,no_prior
full (-600 to -50 ms),baseline+z - baseline,-0.0460613037422665,-0.1722805012643898,0.0238612398527166,5,no_prior
full (-600 to -50 ms),baseline+shuffled-z - baseline,-0.0005311373051719,-0.0010815066206458,-1.279118209895902e-05,5,no_prior
full (-600 to -50 ms),baseline+cpp+z - baseline+cpp,-0.0149275731972105,-0.0715209677820513,0.0207054143182523,5,no_prior
early (-600 to -300 ms),baseline+z - baseline,0.0243408737802989,-0.0300239059332389,0.0599828159582094,5,cpp_prior
early (-600 to -300 ms),baseline+shuffled-z - baseline,-0.0006845530293672,-0.0013786731369787,6.667790464771617e-05,5,cpp_prior
early (-600 to -300 ms),baseline+cpp+z - baseline+cpp,0.0111896806997215,-0.020576146768759,0.0344158105031684,5,cpp_prior
mid (-300 to -120 ms),baseline+z - baseline,-0.0011871390754492,-0.0389504898418825,0.0239716268203977,5,cpp_prior
mid (-300 to -120 ms),baseline+shuffled-z - baseline,-0.000605233017508,-0.0025848527588772,0.0009631053694565,5,cpp_prior
mid (-300 to -120 ms),baseline+cpp+z - baseline+cpp,0.0053764753837931,-0.0028998304664829,0.0140008366696075,5,cpp_prior
late (-120 to -50 ms),baseline+z - baseline,0.0196377691434425,0.0070349124194461,0.0319470251329827,5,cpp_prior
late (-120 to -50 ms),baseline+shuffled-z - baseline,-0.0009580481416897,-0.0015000538601324,-0.0004549020315404,5,cpp_prior
late (-120 to -50 ms),baseline+cpp+z - baseline+cpp,0.0016337428956967,-0.0032648006625546,0.0064182570349037,5,cpp_prior
full (-600 to -50 ms),baseline+z - baseline,-0.0419884339357642,-0.1598961926194961,0.0237536225302322,5,cpp_prior
full (-600 to -50 ms),baseline+shuffled-z - baseline,-0.000515384295182,-0.0010614175645447,5.742569397804153e-06,5,cpp_prior
full (-600 to -50 ms),baseline+cpp+z - baseline+cpp,-0.0129907184583153,-0.0657937165393633,0.0206343964035946,5,cpp_prior
