window,contrast,no_prior_delta_r2,cpp_prior_delta_r2,absolute_difference,same_direction
early (-600 to -300 ms),baseline+cpp+z - baseline+cpp,0.0096739937550868,0.0111896806997215,0.0015156869446347008,True
early (-600 to -300 ms),baseline+shuffled-z - baseline,-0.0007527215964127,-0.0006845530293672,6.816856704549993e-05,True
early (-600 to -300 ms),baseline+z - baseline,0.0217081449330229,0.0243408737802989,0.002632728847276,True
full (-600 to -50 ms),baseline+cpp+z - baseline+cpp,-0.0149275731972105,-0.0129907184583153,0.0019368547388951985,True
full (-600 to -50 ms),baseline+shuffled-z - baseline,-0.0005311373051719,-0.000515384295182,1.5753009989900044e-05,True
full (-600 to -50 ms),baseline+z - baseline,-0.0460613037422665,-0.0419884339357642,0.004072869806502302,True
late (-120 to -50 ms),baseline+cpp+z - baseline+cpp,0.0020890993732378,0.0016337428956967,0.00045535647754110006,True
late (-120 to -50 ms),baseline+shuffled-z - baseline,-0.0009623181375306,-0.0009580481416897,4.2699958408999724e-06,True
late (-120 to -50 ms),baseline+z - baseline,0.0200768787975628,0.0196377691434425,0.0004391096541202996,True
mid (-300 to -120 ms),baseline+cpp+z - baseline+cpp,0.005696106285221,0.0053764753837931,0.0003196309014278998,True
mid (-300 to -120 ms),baseline+shuffled-z - baseline,-0.0005691725716474,-0.000605233017508,3.6060445860599936e-05,True
mid (-300 to -120 ms),baseline+z - baseline,0.0001676763111461,-0.0011871390754492,0.0013548153865953001,False
