window,window_label,latent,rank,adj_r2,delta_adj_r2_vs_ams,coef,coef_p,anova_p,fdr_reject,anova_q
slps_ams,Slope+Amplitude,z3,slps_ams_r2,0.6507629500001142,0.04092488832053376,-5.6763261031189876,1.8515187124684293e-05,1.8515187124684093e-05,True,0.00036008762281247074
response,Response,z3,response_r2,0.6496578010844556,0.039819739404875154,-5.633407672813278,2.400584152083161e-05,2.4005841520831383e-05,True,0.00036008762281247074
across_response,Across-response,z3,across_response_r2,0.6428699425430261,0.03303188086344566,-5.363756412009767,0.00011712714614559262,0.00011712714614558807,True,0.0011712714614558807
slps_ams,Slope+Amplitude,z2,slps_ams_r1,0.6414855327287742,0.03164747104919374,-4.076264423548598,0.00016152565648858976,0.00016152565648858413,True,0.001211442423664381
response,Response,z2,response_r1,0.6401121064147357,0.03027404473515527,-4.206486264173748,0.00022207458052692403,0.00022207458052692338,True,0.0013324474831615403
response,Response,z5,response_r4,0.6372762368871192,0.027438175207538773,-2.781753101825627,0.0004279545097256352,0.00042795450972563787,True,0.002139772548628189
slps_ams,Slope+Amplitude,z5,slps_ams_r4,0.6360954262566332,0.026257364577052744,-2.761978642520714,0.0005621407647439185,0.0005621407647439233,True,0.0024091747060453854
pams,Peak-amplitude,z3,pams_r2,0.6327680855167485,0.022930023837168023,-4.27655019194066,0.0012114268061054144,0.0012114268061054077,True,0.004542850522895279
across_response,Across-response,z5,across_response_r4,0.6309108044852185,0.02107274280563809,-2.632383628018798,0.0018595061447015755,0.0018595061447016048,True,0.006198353815672016
late,Late,z3,late_r2,0.6296345005813375,0.019796438901757085,-4.380099630208891,0.002496663939026058,0.00249666393902601,True,0.00748999181707803
across_response,Across-response,z2,across_response_r1,0.6270867055339484,0.017248643854367973,-3.436141612715333,0.004500161054009032,0.004500161054008887,True,0.012273166510933329
pams,Peak-amplitude,z5,pams_r4,0.6241213057092856,0.014283244029705155,-2.1152507310618995,0.008961417759758103,0.008961417759758294,True,0.022403544399395733
late,Late,z5,late_r4,0.6231027269536995,0.01326466527411907,-2.413831287382791,0.01136733145223449,0.011367331452234203,True,0.026144814679304997
across_response,Across-response,z4,across_response_r3,0.6228002967712876,0.01296223509170713,-3.691416553978907,0.012200913517009516,0.012200913517008999,True,0.026144814679304997
response,Response,z4,response_r3,0.6223156864933166,0.012477624813736155,-3.5956244504389727,0.01366823841049103,0.013668238410490549,True,0.027336476820981098
slps_ams,Slope+Amplitude,z4,slps_ams_r3,0.6215744097067943,0.011736348027213905,-3.3969280556626247,0.016268410240484636,0.01626841024048362,True,0.030503269200906787
late,Late,z4,late_r3,0.620938824203736,0.011100762524155594,-3.530032715873361,0.018897317803875296,0.018897317803874082,True,0.03248060203104805
pams,Peak-amplitude,z4,pams_r3,0.6208084017042252,0.010970340024644809,-3.357262276494434,0.01948836121863029,0.01948836121862883,True,0.03248060203104805
pams,Peak-amplitude,z2,pams_r1,0.6172126954896735,0.0073746338100930675,-2.267801306193008,0.0460409753991382,0.04604097539913911,False,0.07269627694600912
early,Early,z5,early_r4,0.6152845739866785,0.005446512307098028,-2.4909920937957453,0.0739197933089668,0.07391979330896489,False,0.11087968996344734
early,Early,z1,early_r0,0.6146907533279491,0.004852691648368657,-3.5146744279767037,0.08575118580654391,0.08575118580654616,False,0.12250169400935167
early,Early,z4,early_r3,0.6125006976296985,0.002662635950118064,2.2873306785907435,0.15067959205688694,0.15067959205688886,False,0.20547217098666665
late,Late,z2,late_r1,0.6116323052889272,0.0017942436093467684,-1.7104320759661578,0.19033447315515656,0.19033447315515717,False,0.24826235628933543
response,Response,z1,response_r0,0.6088308977689966,-0.0010071639105838637,-1.7433407433659664,0.4423459593046398,0.4423459593046476,False,0.5375734349179316
early,Early,z2,early_r1,0.6087948385076336,-0.0010432231719468277,1.724176862444558,0.44797786243161153,0.44797786243160975,False,0.5375734349179316
slps_ams,Slope+Amplitude,z1,slps_ams_r0,0.6085673945405521,-0.0012706671390283475,-1.5656085551812429,0.4862557214181943,0.48625572141819906,False,0.5610642939440759
early,Early,z3,early_r2,0.6079437555039677,-0.0018943061756127033,1.0228742741936465,0.6273595223870962,0.6273595223870991,False,0.6970661359856657
across_response,Across-response,z1,across_response_r0,0.607789769954688,-0.0020482917248924037,-0.9991647523379409,0.6764034795506104,0.6764034795506133,False,0.7247180138042285
pams,Peak-amplitude,z1,pams_r0,0.6073921185819225,-0.0024459430976578878,-0.30256048794532064,0.9005677836676901,0.900567783667745,False,0.9225961141335878
late,Late,z1,late_r0,0.6073766393664382,-0.0024614223131422808,0.24174078258799986,0.9225961141335972,0.9225961141335878,False,0.9225961141335878
