window,target,model,fold,feature,coefficient,alpha
full_pre_response,log_RT_ms,hidden,1,hidden_00,-0.5024612545967102,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_01,0.07229342311620712,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_02,0.33824074268341064,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_03,0.3309650123119354,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_04,0.4616818428039551,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_05,-0.04534398019313812,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_06,-0.017015377059578896,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_07,0.08462020009756088,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_08,0.08434576541185379,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_09,0.4206896126270294,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_10,0.26568886637687683,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_11,0.07924965769052505,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_12,0.02744198963046074,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_13,-0.40582984685897827,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_14,-0.0445273295044899,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_15,0.014119141735136509,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_16,-0.027904877439141273,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_17,0.02703183889389038,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_18,0.23120425641536713,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_19,0.0720556378364563,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_20,0.12277210503816605,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_21,0.11261165887117386,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_22,0.06289269775152206,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_23,0.009588975459337234,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_24,-0.03834370896220207,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_25,0.1002596989274025,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_26,0.059137966483831406,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_27,-0.06598305702209473,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_28,0.024276763200759888,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_29,0.01993691734969616,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_30,-0.3291358947753906,0.001
full_pre_response,log_RT_ms,hidden,1,hidden_31,-0.0706157386302948,0.001
full_pre_response,log_RT_ms,hidden,2,hidden_00,-0.25690948963165283,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_01,0.035226911306381226,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_02,0.2088877558708191,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_03,0.21203027665615082,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_04,0.2875232696533203,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_05,-0.014583245851099491,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_06,0.1051272451877594,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_07,0.1575201004743576,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_08,0.01948026940226555,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_09,0.015478185378015041,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_10,0.16473308205604553,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_11,0.004523721057921648,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_12,0.02933410555124283,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_13,-0.35818520188331604,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_14,-0.006594968028366566,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_15,0.011664038524031639,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_16,-0.03888706862926483,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_17,0.034323662519454956,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_18,0.22639739513397217,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_19,0.0625510960817337,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_20,0.08006115257740021,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_21,0.017604133114218712,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_22,0.0023893967736512423,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_23,0.0013199228560552,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_24,-0.008670063689351082,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_25,0.05562608316540718,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_26,0.07603387534618378,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_27,-0.03931841999292374,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_28,0.02935788221657276,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_29,0.03301036357879639,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_30,-0.2899191081523895,4.6415888336127775
full_pre_response,log_RT_ms,hidden,2,hidden_31,-0.04729392006993294,4.6415888336127775
full_pre_response,log_RT_ms,hidden,3,hidden_00,-0.40781131386756897,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_01,0.03233303874731064,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_02,0.31709110736846924,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_03,0.2536018490791321,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_04,0.40667444467544556,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_05,-0.029442815110087395,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_06,0.049480680376291275,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_07,0.12349765002727509,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_08,0.075344018638134,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_09,0.24059981107711792,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_10,0.20090344548225403,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_11,0.0972108542919159,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_12,0.028755875304341316,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_13,-0.4432336986064911,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_14,0.0005332757718861103,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_15,0.013133390806615353,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_16,-0.02240600809454918,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_17,-0.008690579794347286,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_18,0.22010453045368195,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_19,0.08287154138088226,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_20,0.13011710345745087,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_21,0.08785689622163773,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_22,0.029974039644002914,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_23,0.020764809101819992,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_24,-0.03896867856383324,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_25,0.06255479156970978,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_26,0.06776601821184158,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_27,-0.08686903119087219,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_28,0.026174155995249748,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_29,0.04167658090591431,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_30,-0.30362892150878906,1.0
full_pre_response,log_RT_ms,hidden,3,hidden_31,-0.05270994082093239,1.0
full_pre_response,log_RT_ms,hidden,4,hidden_00,-0.2445545494556427,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_01,0.04266124591231346,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_02,0.12243104726076126,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_03,0.17009930312633514,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_04,0.1554487943649292,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_05,-0.015034832991659641,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_06,0.047937504947185516,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_07,0.11360777914524078,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_08,0.05151978135108948,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_09,0.05660532787442207,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_10,0.1256897747516632,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_11,-0.022300025448203087,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_12,0.03191738203167915,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_13,-0.2661617696285248,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_14,0.004737205803394318,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_15,0.006481517571955919,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_16,-0.05321711674332619,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_17,0.048621516674757004,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_18,0.19020795822143555,10.0
full_pre_response,log_RT_ms,hidden,4,hidden_19,0.05228639766573906,10.0
