probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,stim_onset,stim_code,is_valid_trial,is_missing_response,is_rt_outlier,resp_onset_sample,response_sample,response_sample_source,trial_index,subject_id,cpp_channels,sampling_frequency,pre_response_slope,late_amplitude,post_response_amplitude,post_response_drop,pre_response_monotonicity,epoch_n_times,tensor_row_index,pre_response_slope_z,late_amplitude_z,post_response_drop_z,pre_response_monotonicity_z,cpp_score,morphology_gate,cpp_label,cpp_threshold,task_proxy_label
1.0,0.72165,1,2,2,1,1,1,1,sub-STSWD1117,33964,8,True,False,False,33964.0,34149,stim_onset_plus_probe_rt,0,sub-1117,"CP1,CPz,CP2,Pz",256.0,-2.221951133553655e-05,-4.712286e-06,-2.4615877e-06,-2.2506986e-06,-0.4065142465692225,206,0,-0.6885046537297705,-1.4112486,-0.9308254,-1.0751470433509305,-1.0194720435425133,0,0,0.004399449557834897,1
1.0,0.82361,2,2,2,1,1,1,1,sub-STSWD1117,36396,8,True,False,False,36396.0,36607,stim_onset_plus_probe_rt,1,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.6610406822032918e-05,-3.1610352e-06,-1.85556e-06,-1.3054753e-06,-0.5123538841695586,206,1,-0.5044169822390877,-1.0280389,-0.5506133,-1.343311013916405,-0.787064180764481,0,0,0.004399449557834897,1
0.0,1.4884,2,2,1,1,1,1,1,sub-STSWD1117,41260,8,True,False,False,41260.0,41641,stim_onset_plus_probe_rt,2,sub-1117,"CP1,CPz,CP2,Pz",256.0,4.223113794974733e-05,1.1669084e-06,-1.358496e-06,2.5254044e-06,0.3840714880745416,206,2,1.426729591670223,0.041104697,0.99034244,0.9279456965832185,0.8348998785353847,1,1,0.004399449557834897,1
0.0,0.92432,2,2,1,1,1,1,1,sub-STSWD1117,43692,8,True,False,False,43692.0,43929,stim_onset_plus_probe_rt,3,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.793237851257718e-05,-5.0983194e-06,-2.1653677e-06,-2.9329517e-06,-0.41587510757530477,206,3,0.6292579036080477,-1.5066113,-1.205259,-1.0988644871386875,-0.7520127579005802,0,0,0.004399449557834897,1
1.0,1.1923,1,2,1,1,1,1,1,sub-STSWD1117,46124,8,True,False,False,46124.0,46429,stim_onset_plus_probe_rt,4,sub-1117,"CP1,CPz,CP2,Pz",256.0,8.981571595412137e-06,-5.097417e-06,-2.9088344e-06,-2.1885828e-06,-0.11290795210121087,206,4,0.33549742911933433,-1.5063885,-0.9058396,-0.33124209911000296,-0.6406719392836299,0,0,0.004399449557834897,1
1.0,1.2142,2,2,1,1,1,1,1,sub-STSWD1117,48556,8,True,False,False,48556.0,48867,stim_onset_plus_probe_rt,5,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.0779823555030412e-05,2.3677612e-06,3.3135543e-06,-9.457931e-07,0.5286742969293844,206,5,-0.3130605019896963,0.3377546,-0.40593258,1.294323211251805,0.07597803867788003,0,0,0.004399449557834897,1
1.0,0.93956,1,2,2,1,1,1,1,sub-STSWD1117,50992,8,True,False,False,50992.0,51233,stim_onset_plus_probe_rt,6,sub-1117,"CP1,CPz,CP2,Pz",256.0,-2.7913945693586793e-05,-1.4491405e-06,-1.0541557e-06,-3.949848e-07,-0.45610351580898856,206,6,-0.8753928029711231,-0.6051449,-0.18437219,-1.2007904756063503,-0.6472300415428572,0,0,0.004399449557834897,1
1.0,0.61344,2,1,1,1,1,1,1,sub-STSWD1117,55472,8,True,False,False,55472.0,55629,stim_onset_plus_probe_rt,7,sub-1117,"CP1,CPz,CP2,Pz",256.0,-7.090602399543811e-06,-5.622133e-07,3.3944702e-06,-3.9566835e-06,-0.0770691347073285,206,7,-0.19198232801509843,-0.3860449,-1.617051,-0.2404379373553526,-0.6615134833556374,0,0,0.004399449557834897,1
1.0,0.35636,2,1,2,1,1,1,1,sub-STSWD1117,57904,8,True,False,False,57904.0,57995,stim_onset_plus_probe_rt,8,sub-1117,"CP1,CPz,CP2,Pz",256.0,-9.224950093191531e-06,-7.968652e-07,3.2932016e-06,-4.090067e-06,-0.5861956482579411,206,8,-0.26203042502046076,-0.44401157,-1.6707039,-1.5304025525918632,-0.8976991880797079,0,0,0.004399449557834897,1
1.0,0.55931,2,1,2,1,1,1,1,sub-STSWD1117,60336,8,True,False,False,60336.0,60479,stim_onset_plus_probe_rt,9,sub-1117,"CP1,CPz,CP2,Pz",256.0,-7.563367970160532e-06,3.9552942e-06,2.0690325e-06,1.8862618e-06,0.6635692759256542,206,9,-0.2074982295010264,0.7299271,0.7332499,1.6361041734427713,0.5924945378681442,0,0,0.004399449557834897,1
