subject_id,n_behavior_trials,n_valid_behavior_trials,n_eeg_trials_exported,n_missing_or_skipped_trials,min_RT_ms,max_RT_ms,mean_RT_ms,accuracy_mean
sub-STSWD1117,252,251,166,86,499.78000000000003,1512.6,784.6528313253011,0.7831325301204819
sub-STSWD1118,240,240,159,81,501.29,1464.2,746.6442767295598,0.6918238993710691
sub-STSWD1120,238,238,153,85,500.90000000000003,1225.5,712.6220261437908,0.8758169934640523
sub-STSWD1124,250,249,192,58,499.17,1538.1,802.4432291666667,0.8177083333333334
sub-STSWD1126,256,256,209,47,513.3100000000001,1647.6,955.5671770334927,0.7703349282296651
sub-STSWD1131,255,255,173,82,498.51,1262.3,738.9901734104046,0.7341040462427746
sub-STSWD1132,254,254,203,51,503.51,1622.7,857.6298029556652,0.8817733990147784
sub-STSWD1135,254,254,181,73,499.21,1407.8999999999999,772.0161325966851,0.8121546961325967
sub-STSWD1136,253,252,215,38,501.05999999999995,1736.5,859.1199069767443,0.8651162790697674
sub-STSWD1151,252,251,170,82,498.33,1462.3999999999999,809.0454705882352,0.9176470588235294
sub-STSWD1160,255,252,222,33,499.83,1670.1,899.6326126126127,0.8063063063063063
sub-STSWD1164,248,248,180,68,506.1,1514.5,845.0276111111112,0.8666666666666667
sub-STSWD1167,256,256,215,41,500.19,1480.8,782.894511627907,0.8651162790697674
sub-STSWD1169,253,252,211,42,502.88,1617.3999999999999,848.3562085308057,0.8341232227488151
sub-STSWD1172,256,255,235,21,505.84,1727.7,892.7430638297872,0.7106382978723405
sub-STSWD1173,256,253,235,21,505.22999999999996,1778.3,994.266510638298,0.5531914893617021
sub-STSWD1178,256,254,210,46,504.56999999999994,1799.1,996.5634285714286,0.819047619047619
sub-STSWD1182,254,253,200,54,499.68,1724.6,861.12375,0.91
sub-STSWD1215,253,253,170,83,499.56,1738.2,868.4208823529412,0.7941176470588235
sub-STSWD1216,238,238,161,77,498.21,1311.5,772.2013043478261,0.6956521739130435
sub-STSWD1219,251,250,180,71,501.93,1393.2,787.4230555555555,0.7333333333333333
sub-STSWD1223,235,234,166,69,503.07,1615.2,864.3874698795181,0.7891566265060241
sub-STSWD1227,256,250,228,28,549.32,1787.9,1107.7829385964912,0.7982456140350878
sub-STSWD1233,253,253,164,89,500.59,1276.3,739.3207317073171,0.8475609756097561
sub-STSWD1234,248,248,118,130,498.36,1073.6000000000001,675.3144067796611,0.6101694915254238
sub-STSWD1237,253,252,170,83,503.73,1328.1000000000001,726.032294117647,0.7647058823529411
sub-STSWD1240,254,254,172,82,499.91999999999996,1452.9,810.8900000000001,0.8953488372093024
sub-STSWD1243,252,251,201,51,501.49999999999994,1667.5,838.0859203980099,0.7213930348258707
sub-STSWD1245,247,246,177,70,498.99,1575.7,783.928813559322,0.8813559322033898
sub-STSWD1247,244,243,119,125,501.19,1537.7,806.0002521008402,0.8739495798319328
sub-STSWD1250,248,248,164,84,499.47999999999996,1511.0,892.3753048780487,0.8170731707317073
sub-STSWD1239,253,253,147,106,498.88,1218.3,746.6666666666666,0.8775510204081632
sub-STSWD1252,253,251,183,70,498.87,1532.8999999999999,827.8419672131146,0.9508196721311475
sub-STSWD1257,246,245,115,131,500.05999999999995,1207.7,693.1307826086958,0.7739130434782608
sub-STSWD1261,253,253,166,87,500.52,1291.3,732.9222289156627,0.8734939759036144
sub-STSWD1265,236,235,120,116,498.81,1174.3,685.86225,0.7083333333333334
sub-STSWD1266,250,250,119,131,498.21,1055.3,652.8021848739495,0.7310924369747899
sub-STSWD1268,239,238,164,75,501.82000000000005,1608.7,854.4835365853658,0.7621951219512195
sub-STSWD1270,249,249,151,98,501.15,1249.5,731.4226490066226,0.8543046357615894
sub-STSWD1276,254,252,189,65,498.95,1283.5,732.9839153439153,0.6878306878306878
sub-STSWD1281,255,255,224,31,513.4499999999999,1324.1000000000001,786.2771874999999,0.7857142857142857
