pc,score_window,target,pearson_r,linear_r2
PC1,pc_late_score,cpp_late_amplitude,0.9844927738940447,0.9692260218495907
PC1,pc_late_score,cpp_pre_response_slope,0.4750970475047363,0.2257172045477177
PC1,pc_late_score,cpp_pre_response_auc,0.560671104104645,0.3143520869779217
PC1,pc_pre_response_mean_score,cpp_late_amplitude,0.5053543444089444,0.25538301341299396
PC1,pc_pre_response_mean_score,cpp_pre_response_slope,-0.2517912886184751,0.06339885302415249
PC1,pc_pre_response_mean_score,cpp_pre_response_auc,0.9814880635965264,0.9633188189824584
PC2,pc_late_score,cpp_late_amplitude,-0.3980726474634792,0.15846183265858338
PC2,pc_late_score,cpp_pre_response_slope,-0.4901727642575195,0.2402693388198578
PC2,pc_late_score,cpp_pre_response_auc,-0.10469798449881786,0.010961667958114485
PC2,pc_pre_response_mean_score,cpp_late_amplitude,-0.18956453343059543,0.03593471233475931
PC2,pc_pre_response_mean_score,cpp_pre_response_slope,-0.3788045375738576,0.14349287768654406
PC2,pc_pre_response_mean_score,cpp_pre_response_auc,0.04101926944368189,0.0016825804656934729
PC3,pc_late_score,cpp_late_amplitude,-0.07846546991305521,0.006156829968676503
PC3,pc_late_score,cpp_pre_response_slope,-0.22284931519616835,0.049661817283401244
PC3,pc_late_score,cpp_pre_response_auc,0.22275669707507484,0.04962054609179656
PC3,pc_pre_response_mean_score,cpp_late_amplitude,-0.05076008308886753,0.0025765860351891767
PC3,pc_pre_response_mean_score,cpp_pre_response_slope,0.10010640639012336,0.010021292600344678
PC3,pc_pre_response_mean_score,cpp_pre_response_auc,-0.24286848251221488,0.05898509979778588
