time_index,time_ms,pc1_explained,pc2_explained,pc1_pc2_cumulative,n_pc_80,n_pc_90,participation_ratio
0,-1000.0,0.9187500450333733,0.07170039334496457,0.9904504383783379,1,1,1.1773934073274823
1,-996.0911865234375,0.9277029875062364,0.06358261286091411,0.9912856003671505,1,1,1.1564015489328998
2,-992.1824340820312,0.934953523137817,0.057496320552505795,0.9924498436903227,1,1,1.1395999419949847
3,-988.2736206054688,0.9400256107087388,0.053405240899657515,0.9934308516083963,1,1,1.1279763347146623
4,-984.3648071289062,0.9417825988072117,0.0518465393327861,0.9936291381399978,1,1,1.1239957049988918
5,-980.4560546875,0.9403049506850294,0.05313561816501918,0.9934405688500486,1,1,1.1273451056790746
6,-976.5472412109375,0.9365063098523376,0.05677156256186903,0.9932778724142066,1,1,1.135960543723049
7,-972.638427734375,0.9311140890847068,0.062104550159241934,0.9932186392439488,1,1,1.148268560021537
8,-968.7296142578125,0.9244771453147919,0.06844655283790156,0.9929236981526934,1,1,1.1636119955158326
9,-964.8208618164062,0.9158407555620556,0.07625372283368326,0.9920944783957388,1,1,1.1839343652757386
10,-960.9120483398438,0.9022190760818292,0.0886049940095589,0.9908240700913881,1,1,1.2166422489683484
11,-957.0032348632812,0.8798433784768966,0.10922515742555775,0.9890685359024544,1,2,1.2719830428492633
12,-953.094482421875,0.8499491406680194,0.13659095220674994,0.9865400928747694,1,2,1.349069238396233
13,-949.1856689453125,0.8244408054941283,0.15958346514789032,0.9840242706420187,1,2,1.4175856500316202
14,-945.27685546875,0.8198164709852687,0.1633428790374442,0.9831593500227129,1,2,1.4304851116851414
15,-941.3681030273438,0.835411444214866,0.14852558097075988,0.9839370251856259,1,2,1.388445071481201
16,-937.4592895507812,0.8550525201329848,0.12994411452995572,0.9849966346629405,1,2,1.336495685168109
17,-933.5504760742188,0.8694115812665147,0.11610085979531948,0.9855124410618342,1,2,1.2994340501536072
18,-929.6417236328125,0.8807209409993162,0.10490947092714122,0.9856304119264574,1,2,1.2708388047697197
19,-925.73291015625,0.8950150207595634,0.09111906869170866,0.986134089451272,1,2,1.2352589820614497
