comparison,metric,difference,sample_index
late_pre_response_minus_early_pre_response,pc1_explained,0.042324721151986044,0
late_pre_response_minus_early_pre_response,participation_ratio,-0.21638022285466096,0
late_pre_response_minus_mid_pre_response,pc1_explained,0.03580145835344206,0
late_pre_response_minus_mid_pre_response,participation_ratio,-0.16461209392623743,0
mid_pre_response_minus_early_pre_response,pc1_explained,0.006523262798543983,0
mid_pre_response_minus_early_pre_response,participation_ratio,-0.05176812892842353,0
late_pre_response_minus_early_pre_response,pc1_explained,0.05966254948884475,1
late_pre_response_minus_early_pre_response,participation_ratio,-0.3160959567853796,1
late_pre_response_minus_mid_pre_response,pc1_explained,0.025481479467105772,1
late_pre_response_minus_mid_pre_response,participation_ratio,-0.12468138039073651,1
mid_pre_response_minus_early_pre_response,pc1_explained,0.03418107002173898,1
mid_pre_response_minus_early_pre_response,participation_ratio,-0.1914145763946431,1
late_pre_response_minus_early_pre_response,pc1_explained,0.03690674065397992,2
late_pre_response_minus_early_pre_response,participation_ratio,-0.22238105605031855,2
late_pre_response_minus_mid_pre_response,pc1_explained,0.04430855597943795,2
late_pre_response_minus_mid_pre_response,participation_ratio,-0.22495354263308087,2
mid_pre_response_minus_early_pre_response,pc1_explained,-0.007401815325458028,2
mid_pre_response_minus_early_pre_response,participation_ratio,0.0025724865827623233,2
late_pre_response_minus_early_pre_response,pc1_explained,0.061796381069596285,3
late_pre_response_minus_early_pre_response,participation_ratio,-0.3329920237814594,3
late_pre_response_minus_mid_pre_response,pc1_explained,0.04119231235330312,3
late_pre_response_minus_mid_pre_response,participation_ratio,-0.21772930612224295,3
mid_pre_response_minus_early_pre_response,pc1_explained,0.020604068716293167,3
mid_pre_response_minus_early_pre_response,participation_ratio,-0.11526271765921647,3
late_pre_response_minus_early_pre_response,pc1_explained,0.05345732947747428,4
late_pre_response_minus_early_pre_response,participation_ratio,-0.2821199412134652,4
late_pre_response_minus_mid_pre_response,pc1_explained,0.03978596631099229,4
late_pre_response_minus_mid_pre_response,participation_ratio,-0.18515556984983705,4
mid_pre_response_minus_early_pre_response,pc1_explained,0.013671363166481987,4
mid_pre_response_minus_early_pre_response,participation_ratio,-0.09696437136362812,4
late_pre_response_minus_early_pre_response,pc1_explained,0.055656427907564754,5
late_pre_response_minus_early_pre_response,participation_ratio,-0.2942405297305575,5
late_pre_response_minus_mid_pre_response,pc1_explained,0.060583870072930646,5
late_pre_response_minus_mid_pre_response,participation_ratio,-0.29703869144416295,5
mid_pre_response_minus_early_pre_response,pc1_explained,-0.004927442165365892,5
mid_pre_response_minus_early_pre_response,participation_ratio,0.0027981617136054737,5
late_pre_response_minus_early_pre_response,pc1_explained,0.04359653492625981,6
late_pre_response_minus_early_pre_response,participation_ratio,-0.24853406431741298,6
late_pre_response_minus_mid_pre_response,pc1_explained,0.03099572109631399,6
late_pre_response_minus_mid_pre_response,participation_ratio,-0.16118233959431327,6
mid_pre_response_minus_early_pre_response,pc1_explained,0.012600813829945823,6
mid_pre_response_minus_early_pre_response,participation_ratio,-0.08735172472309971,6
late_pre_response_minus_early_pre_response,pc1_explained,0.03603480143404869,7
late_pre_response_minus_early_pre_response,participation_ratio,-0.23748831679831817,7
late_pre_response_minus_mid_pre_response,pc1_explained,0.023828303457459676,7
late_pre_response_minus_mid_pre_response,participation_ratio,-0.16123118720718654,7
mid_pre_response_minus_early_pre_response,pc1_explained,0.012206497976589015,7
mid_pre_response_minus_early_pre_response,participation_ratio,-0.07625712959113162,7
late_pre_response_minus_early_pre_response,pc1_explained,0.03906542324503126,8
late_pre_response_minus_early_pre_response,participation_ratio,-0.22837519674261042,8
late_pre_response_minus_mid_pre_response,pc1_explained,0.03559716454862738,8
late_pre_response_minus_mid_pre_response,participation_ratio,-0.21111964058103228,8
mid_pre_response_minus_early_pre_response,pc1_explained,0.003468258696403881,8
mid_pre_response_minus_early_pre_response,participation_ratio,-0.017255556161578145,8
late_pre_response_minus_early_pre_response,pc1_explained,0.04913357854409728,9
late_pre_response_minus_early_pre_response,participation_ratio,-0.28061015655591515,9
late_pre_response_minus_mid_pre_response,pc1_explained,0.035529358277768486,9
late_pre_response_minus_mid_pre_response,participation_ratio,-0.20786720613845988,9
mid_pre_response_minus_early_pre_response,pc1_explained,0.013604220266328793,9
mid_pre_response_minus_early_pre_response,participation_ratio,-0.07274295041745527,9
late_pre_response_minus_early_pre_response,pc1_explained,0.047842938512155375,10
late_pre_response_minus_early_pre_response,participation_ratio,-0.2501836934958148,10
late_pre_response_minus_mid_pre_response,pc1_explained,0.04676831494097933,10
late_pre_response_minus_mid_pre_response,participation_ratio,-0.21773614870622815,10
mid_pre_response_minus_early_pre_response,pc1_explained,0.0010746235711760477,10
mid_pre_response_minus_early_pre_response,participation_ratio,-0.03244754478958667,10
late_pre_response_minus_early_pre_response,pc1_explained,0.07795201068633706,11
late_pre_response_minus_early_pre_response,participation_ratio,-0.4063176318781032,11
late_pre_response_minus_mid_pre_response,pc1_explained,0.04223821956907303,11
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1906934699037106,11
mid_pre_response_minus_early_pre_response,pc1_explained,0.03571379111726403,11
mid_pre_response_minus_early_pre_response,participation_ratio,-0.2156241619743926,11
late_pre_response_minus_early_pre_response,pc1_explained,0.06532151767606587,12
late_pre_response_minus_early_pre_response,participation_ratio,-0.34177544765164924,12
late_pre_response_minus_mid_pre_response,pc1_explained,0.07158750567355243,12
late_pre_response_minus_mid_pre_response,participation_ratio,-0.3653537832321234,12
mid_pre_response_minus_early_pre_response,pc1_explained,-0.006265987997486566,12
mid_pre_response_minus_early_pre_response,participation_ratio,0.023578335580474175,12
late_pre_response_minus_early_pre_response,pc1_explained,0.04538009715767677,13
late_pre_response_minus_early_pre_response,participation_ratio,-0.27303054033462093,13
late_pre_response_minus_mid_pre_response,pc1_explained,0.04427062147756,13
late_pre_response_minus_mid_pre_response,participation_ratio,-0.22200297163968497,13
mid_pre_response_minus_early_pre_response,pc1_explained,0.0011094756801167671,13
mid_pre_response_minus_early_pre_response,participation_ratio,-0.051027568694935965,13
late_pre_response_minus_early_pre_response,pc1_explained,0.04925688341398271,14
late_pre_response_minus_early_pre_response,participation_ratio,-0.267638462811576,14
late_pre_response_minus_mid_pre_response,pc1_explained,0.03776657837889563,14
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1892511388470326,14
mid_pre_response_minus_early_pre_response,pc1_explained,0.011490305035087078,14
mid_pre_response_minus_early_pre_response,participation_ratio,-0.0783873239645434,14
late_pre_response_minus_early_pre_response,pc1_explained,0.051121960751706164,15
late_pre_response_minus_early_pre_response,participation_ratio,-0.27338843840696425,15
late_pre_response_minus_mid_pre_response,pc1_explained,0.03811047504324372,15
late_pre_response_minus_mid_pre_response,participation_ratio,-0.21646912546562014,15
mid_pre_response_minus_early_pre_response,pc1_explained,0.013011485708462445,15
mid_pre_response_minus_early_pre_response,participation_ratio,-0.05691931294134411,15
late_pre_response_minus_early_pre_response,pc1_explained,0.05473646776781438,16
late_pre_response_minus_early_pre_response,participation_ratio,-0.3042564744689802,16
late_pre_response_minus_mid_pre_response,pc1_explained,0.02014434927359543,16
late_pre_response_minus_mid_pre_response,participation_ratio,-0.10940237934702512,16
mid_pre_response_minus_early_pre_response,pc1_explained,0.03459211849421895,16
mid_pre_response_minus_early_pre_response,participation_ratio,-0.19485409512195506,16
late_pre_response_minus_early_pre_response,pc1_explained,0.06295268302963031,17
late_pre_response_minus_early_pre_response,participation_ratio,-0.3433552772934414,17
late_pre_response_minus_mid_pre_response,pc1_explained,0.038253926898446866,17
late_pre_response_minus_mid_pre_response,participation_ratio,-0.20125121935601342,17
mid_pre_response_minus_early_pre_response,pc1_explained,0.02469875613118344,17
mid_pre_response_minus_early_pre_response,participation_ratio,-0.14210405793742797,17
late_pre_response_minus_early_pre_response,pc1_explained,0.05526533451475435,18
late_pre_response_minus_early_pre_response,participation_ratio,-0.29994447937185553,18
late_pre_response_minus_mid_pre_response,pc1_explained,0.032110411101823,18
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1593862969868809,18
mid_pre_response_minus_early_pre_response,pc1_explained,0.02315492341293135,18
mid_pre_response_minus_early_pre_response,participation_ratio,-0.14055818238497464,18
late_pre_response_minus_early_pre_response,pc1_explained,0.05871160398640918,19
late_pre_response_minus_early_pre_response,participation_ratio,-0.3178347765084979,19
late_pre_response_minus_mid_pre_response,pc1_explained,0.05363693263799929,19
late_pre_response_minus_mid_pre_response,participation_ratio,-0.2656134661502536,19
mid_pre_response_minus_early_pre_response,pc1_explained,0.005074671348409887,19
mid_pre_response_minus_early_pre_response,participation_ratio,-0.05222131035824429,19
late_pre_response_minus_early_pre_response,pc1_explained,0.02814360401681748,20
late_pre_response_minus_early_pre_response,participation_ratio,-0.1765616146781821,20
late_pre_response_minus_mid_pre_response,pc1_explained,0.03184822545821442,20
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1818084213471831,20
mid_pre_response_minus_early_pre_response,pc1_explained,-0.003704621441396938,20
mid_pre_response_minus_early_pre_response,participation_ratio,0.005246806669001014,20
late_pre_response_minus_early_pre_response,pc1_explained,0.060777187698746404,21
late_pre_response_minus_early_pre_response,participation_ratio,-0.34474986529824525,21
late_pre_response_minus_mid_pre_response,pc1_explained,0.029150331600772295,21
late_pre_response_minus_mid_pre_response,participation_ratio,-0.16436128076911283,21
mid_pre_response_minus_early_pre_response,pc1_explained,0.03162685609797411,21
mid_pre_response_minus_early_pre_response,participation_ratio,-0.18038858452913242,21
late_pre_response_minus_early_pre_response,pc1_explained,0.06204900977424943,22
late_pre_response_minus_early_pre_response,participation_ratio,-0.35937823366138666,22
late_pre_response_minus_mid_pre_response,pc1_explained,0.021355822466288643,22
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1343927449411333,22
mid_pre_response_minus_early_pre_response,pc1_explained,0.04069318730796079,22
mid_pre_response_minus_early_pre_response,participation_ratio,-0.22498548872025337,22
late_pre_response_minus_early_pre_response,pc1_explained,0.09128977548481665,23
late_pre_response_minus_early_pre_response,participation_ratio,-0.4610673427906744,23
late_pre_response_minus_mid_pre_response,pc1_explained,0.050603202857247176,23
late_pre_response_minus_mid_pre_response,participation_ratio,-0.24266756000038114,23
mid_pre_response_minus_early_pre_response,pc1_explained,0.04068657262756947,23
mid_pre_response_minus_early_pre_response,participation_ratio,-0.21839978279029326,23
late_pre_response_minus_early_pre_response,pc1_explained,0.0708460768729271,24
late_pre_response_minus_early_pre_response,participation_ratio,-0.3853532084453559,24
late_pre_response_minus_mid_pre_response,pc1_explained,0.06102037131062665,24
late_pre_response_minus_mid_pre_response,participation_ratio,-0.3044097638350145,24
mid_pre_response_minus_early_pre_response,pc1_explained,0.009825705562300446,24
mid_pre_response_minus_early_pre_response,participation_ratio,-0.08094344461034142,24
late_pre_response_minus_early_pre_response,pc1_explained,0.01812320007197299,25
late_pre_response_minus_early_pre_response,participation_ratio,-0.13112017036880497,25
late_pre_response_minus_mid_pre_response,pc1_explained,0.03007354801203954,25
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1565746561282535,25
mid_pre_response_minus_early_pre_response,pc1_explained,-0.011950347940066552,25
mid_pre_response_minus_early_pre_response,participation_ratio,0.02545448575944853,25
late_pre_response_minus_early_pre_response,pc1_explained,0.056618758136645075,26
late_pre_response_minus_early_pre_response,participation_ratio,-0.30236986125358767,26
late_pre_response_minus_mid_pre_response,pc1_explained,0.0458411495046217,26
late_pre_response_minus_mid_pre_response,participation_ratio,-0.22815881516825787,26
mid_pre_response_minus_early_pre_response,pc1_explained,0.010777608632023372,26
mid_pre_response_minus_early_pre_response,participation_ratio,-0.0742110460853298,26
late_pre_response_minus_early_pre_response,pc1_explained,0.053414343159976396,27
late_pre_response_minus_early_pre_response,participation_ratio,-0.2875855181271292,27
late_pre_response_minus_mid_pre_response,pc1_explained,0.038504836764415296,27
late_pre_response_minus_mid_pre_response,participation_ratio,-0.20800523138699933,27
mid_pre_response_minus_early_pre_response,pc1_explained,0.0149095063955611,27
mid_pre_response_minus_early_pre_response,participation_ratio,-0.07958028674012985,27
late_pre_response_minus_early_pre_response,pc1_explained,0.038390970640536426,28
late_pre_response_minus_early_pre_response,participation_ratio,-0.21165848694472,28
late_pre_response_minus_mid_pre_response,pc1_explained,0.03766404921158795,28
late_pre_response_minus_mid_pre_response,participation_ratio,-0.18709603624763593,28
mid_pre_response_minus_early_pre_response,pc1_explained,0.0007269214289484793,28
mid_pre_response_minus_early_pre_response,participation_ratio,-0.02456245069708407,28
late_pre_response_minus_early_pre_response,pc1_explained,0.07216842857224692,29
late_pre_response_minus_early_pre_response,participation_ratio,-0.3956225887305407,29
late_pre_response_minus_mid_pre_response,pc1_explained,0.06827100917663909,29
late_pre_response_minus_mid_pre_response,participation_ratio,-0.3577925133681994,29
mid_pre_response_minus_early_pre_response,pc1_explained,0.0038974193956078373,29
mid_pre_response_minus_early_pre_response,participation_ratio,-0.03783007536234129,29
late_pre_response_minus_early_pre_response,pc1_explained,0.055512597445234735,30
late_pre_response_minus_early_pre_response,participation_ratio,-0.3021074318839063,30
late_pre_response_minus_mid_pre_response,pc1_explained,0.06703828782945331,30
late_pre_response_minus_mid_pre_response,participation_ratio,-0.33451019389048353,30
mid_pre_response_minus_early_pre_response,pc1_explained,-0.011525690384218579,30
mid_pre_response_minus_early_pre_response,participation_ratio,0.03240276200657721,30
late_pre_response_minus_early_pre_response,pc1_explained,0.02788221882672559,31
late_pre_response_minus_early_pre_response,participation_ratio,-0.1946512582296238,31
late_pre_response_minus_mid_pre_response,pc1_explained,0.030487863853816854,31
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1721422601269036,31
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0026056450270912634,31
mid_pre_response_minus_early_pre_response,participation_ratio,-0.022508998102720223,31
late_pre_response_minus_early_pre_response,pc1_explained,0.052606913687033297,32
late_pre_response_minus_early_pre_response,participation_ratio,-0.29955146289520584,32
late_pre_response_minus_mid_pre_response,pc1_explained,0.05359118152494924,32
late_pre_response_minus_mid_pre_response,participation_ratio,-0.3044946399529911,32
mid_pre_response_minus_early_pre_response,pc1_explained,-0.000984267837915942,32
mid_pre_response_minus_early_pre_response,participation_ratio,0.004943177057785242,32
late_pre_response_minus_early_pre_response,pc1_explained,0.02024168687718575,33
late_pre_response_minus_early_pre_response,participation_ratio,-0.12430080700607249,33
late_pre_response_minus_mid_pre_response,pc1_explained,0.030540997744898712,33
late_pre_response_minus_mid_pre_response,participation_ratio,-0.15462397693710805,33
mid_pre_response_minus_early_pre_response,pc1_explained,-0.010299310867712963,33
mid_pre_response_minus_early_pre_response,participation_ratio,0.030323169931035565,33
late_pre_response_minus_early_pre_response,pc1_explained,0.03765860622133477,34
late_pre_response_minus_early_pre_response,participation_ratio,-0.22679193787245744,34
late_pre_response_minus_mid_pre_response,pc1_explained,0.02604970572994536,34
late_pre_response_minus_mid_pre_response,participation_ratio,-0.16375859606655796,34
mid_pre_response_minus_early_pre_response,pc1_explained,0.011608900491389407,34
mid_pre_response_minus_early_pre_response,participation_ratio,-0.06303334180589948,34
late_pre_response_minus_early_pre_response,pc1_explained,0.045269486210154475,35
late_pre_response_minus_early_pre_response,participation_ratio,-0.2556348460867479,35
late_pre_response_minus_mid_pre_response,pc1_explained,0.021971572354373747,35
late_pre_response_minus_mid_pre_response,participation_ratio,-0.12297886670639757,35
mid_pre_response_minus_early_pre_response,pc1_explained,0.023297913855780727,35
mid_pre_response_minus_early_pre_response,participation_ratio,-0.13265597938035034,35
late_pre_response_minus_early_pre_response,pc1_explained,0.09648178077179792,36
late_pre_response_minus_early_pre_response,participation_ratio,-0.5061684788350105,36
late_pre_response_minus_mid_pre_response,pc1_explained,0.052304918666541744,36
late_pre_response_minus_mid_pre_response,participation_ratio,-0.25829912949648026,36
mid_pre_response_minus_early_pre_response,pc1_explained,0.044176862105256176,36
mid_pre_response_minus_early_pre_response,participation_ratio,-0.24786934933853022,36
late_pre_response_minus_early_pre_response,pc1_explained,0.06094987172122457,37
late_pre_response_minus_early_pre_response,participation_ratio,-0.321563531042667,37
late_pre_response_minus_mid_pre_response,pc1_explained,0.05172886938294774,37
late_pre_response_minus_mid_pre_response,participation_ratio,-0.24484656486717382,37
