analysis,window,mean_pc1_explained,mean_participation_ratio
latent_observed,early_pre_response,0.5306658609493374,2.7656222698340565
latent_observed,mid_pre_response,0.5444827260641679,2.6870553228481073
latent_observed,late_pre_response,0.5810669508470485,2.496903064205158
latent_observed,peri_response_contaminated,0.5576123409805054,2.614607845874998
latent_time_shuffle,early_pre_response,0.5011498447420912,3.0462470891004143
latent_time_shuffle,mid_pre_response,0.499760760264638,3.0585671311710048
latent_time_shuffle,late_pre_response,0.4955324020399283,3.082452384646216
latent_time_shuffle,peri_response_contaminated,0.492675949993701,3.0925709466955182
latent_trial_shuffle,early_pre_response,0.10910600585868462,16.30799096128533
latent_trial_shuffle,mid_pre_response,0.11078815672199038,15.98110722232109
latent_trial_shuffle,late_pre_response,0.11591041810474229,15.195241276398443
latent_trial_shuffle,peri_response_contaminated,0.11531891017990263,15.218350022438436
raw_cpp_observed,early_pre_response,0.8930288902052834,1.240322894713679
raw_cpp_observed,mid_pre_response,0.8979436770312708,1.2277052707787701
raw_cpp_observed,late_pre_response,0.9058351321733689,1.2085466015237294
raw_cpp_observed,peri_response_contaminated,0.8996518058920714,1.2236676494897976
