latent_trial_index,cpp_late_amplitude,cpp_pre_response_slope,cpp_pre_response_auc
0,7.964030373841524e-06,5.939165046603195e-09,0.003134367660947963
1,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
2,2.608615432109218e-06,-1.154838878992859e-08,0.0015511184011769456
3,-3.324882072774926e-06,-1.3123064388334513e-08,-0.0005966602990608602
4,-1.1155948413943406e-06,-4.3111154354366806e-09,0.0016181476279379077
5,-7.002908546382969e-07,1.0717325066556934e-08,-0.0021507460436695465
6,-3.904231562046334e-06,1.0128957659106021e-08,-0.003783819155926489
7,-3.2450188314214756e-07,-8.96710162977602e-09,0.000757228718943334
8,7.532000836363295e-06,5.074244014591622e-09,0.002000262825452144
9,1.9845467704726616e-06,6.922172828764597e-09,-0.0007111827606423476
10,-2.633996416534501e-07,1.1572648213732708e-08,0.0003906391749260129
11,5.3440621741174255e-06,5.608773909409112e-09,0.0018434857708735921
12,7.784902322782727e-07,7.51430327975288e-09,0.0008706164653514757
13,-2.1564794678852195e-06,-8.386158202889925e-09,0.00040366277032695343
14,1.298855067943805e-06,1.3114252547141068e-08,-0.0007586031146877867
15,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
16,6.302032034000149e-06,1.477535585725688e-08,0.0016847906354405305
17,-2.555763558120816e-06,3.4095755503335204e-09,-0.0016386527681017155
18,-4.7778262342035305e-06,-1.663674569117881e-08,0.0003116791624434175
19,3.048832695640158e-06,1.390517051252674e-08,0.0015669401162736686
20,4.305281436245423e-06,1.2908551337651934e-08,0.0010474704798647248
21,4.226656528771855e-06,1.8566115388531855e-08,0.0030348544274727642
22,-4.52924132332555e-06,-1.2595231255448179e-08,-0.0003230328775431781
23,-1.9424087440711446e-06,-1.2936178837723338e-09,0.0004957257546902382
24,-1.7835413927969057e-06,8.002264716229688e-09,-0.00045192472671131323
25,3.788238700508373e-06,9.9229469077535e-09,0.0013845117049093361
26,-2.0821973976126174e-06,-7.943969636779906e-09,-0.0007714277625414624
27,1.3200470903029782e-06,-3.54762560013877e-09,0.001244096518924172
28,5.894984042242868e-06,-2.433624688098775e-10,0.0021537077892765854
29,-3.37342817147146e-06,-3.510389747143837e-09,0.0004918280312342111
30,-2.0125932564951654e-07,-4.073083693968109e-09,0.00035269080746168623
31,3.426963530728244e-07,-1.1086179984003223e-09,-0.00014394382024763647
32,2.8947990813321667e-06,-4.67738823814361e-09,0.0031987823362294838
33,3.7827901451237267e-06,1.9928703702397083e-08,0.0004437070889582583
34,2.3012098608887754e-06,1.4456519764312655e-08,0.00048721222095497296
35,4.113326212973334e-06,8.302545232065597e-09,0.00022706453321817666
36,3.4873625764930694e-08,-1.6619306215242953e-08,0.0009161566207855342
37,4.61881427327171e-06,-1.1454165696928136e-09,0.0021382649875712804
38,2.4065857360255904e-06,-5.422829031178306e-09,0.0014187153012037697
39,5.895295203117712e-07,4.763754526165568e-09,0.0013237560788651108
40,-1.7453559166824562e-06,-1.3581796642493602e-08,0.0020858951475354534
41,4.858148258790607e-06,6.239931171267577e-09,0.0015899057606940576
42,-7.62131904252783e-08,-5.049398261451492e-09,0.0018376391813503833
43,1.269831727768178e-06,1.1370542532169477e-08,0.000797412598392872
44,9.083183272196038e-07,1.921956819581225e-09,0.00027244815153133946
45,2.504080839571543e-06,6.611649703708988e-09,0.002660085524742304
46,-6.558756808772159e-07,-1.4785601356398034e-08,0.000410774230686718
47,6.4732612372608855e-06,8.363152460241879e-09,0.0022569219300220362
48,2.505356633264455e-06,-6.493114585712273e-11,-0.0005404833241708946
49,3.7783731841045665e-06,1.0670163668458055e-08,0.0024095811050863633
50,1.5714903156549553e-06,-8.934981898752598e-10,0.00030176438161395717
51,-3.0104843062872533e-06,-6.273549693337572e-09,-0.0009055004991500636
52,2.2127494503365597e-06,1.4371274060765703e-08,-0.0013444575092762963
53,-2.496805564078386e-06,3.689205155910878e-09,-0.00031721550513476255
54,-2.4658731945237378e-06,-1.3750352321402154e-08,0.0004566403738667066
55,8.061260814429261e-07,8.409502201293658e-09,0.0014564069453042233
56,1.7053454257620615e-06,-4.544929313424007e-09,0.0009293490778584203
57,-1.5375049997601309e-06,-4.6278383878876835e-09,-0.00037935185624345195
58,-2.1895084501011297e-06,-1.0863378050308753e-08,0.0009294195255859998
59,-1.5078405795065919e-06,-6.956248443155088e-09,-0.0003181038764467535
60,1.0632555813572253e-06,8.530834913005768e-09,-0.0004200903490601688
61,6.566859156009741e-06,-1.5981964831132764e-09,0.0014962027728864491
62,-2.8691868010355392e-06,1.7064573209426695e-09,-0.002061385294607351
63,2.6912875910056755e-06,1.4379025853294818e-08,-0.0011394824880323461
64,-3.987839590990916e-06,8.634435210154232e-09,-0.0011076530573340894
