comparison,metric,difference,sample_index
late_pre_response_minus_early_pre_response,pc1_explained,0.015148412480636475,0
late_pre_response_minus_early_pre_response,participation_ratio,-0.06515117106317803,0
late_pre_response_minus_mid_pre_response,pc1_explained,0.009867512051371041,0
late_pre_response_minus_mid_pre_response,participation_ratio,-0.045129720090165915,0
mid_pre_response_minus_early_pre_response,pc1_explained,0.005280900429265434,0
mid_pre_response_minus_early_pre_response,participation_ratio,-0.02002145097301211,0
late_pre_response_minus_early_pre_response,pc1_explained,0.01018464505047556,1
late_pre_response_minus_early_pre_response,participation_ratio,-0.03946340704275331,1
late_pre_response_minus_mid_pre_response,pc1_explained,0.006958497256147722,1
late_pre_response_minus_mid_pre_response,participation_ratio,-0.023310449836527525,1
mid_pre_response_minus_early_pre_response,pc1_explained,0.0032261477943278383,1
mid_pre_response_minus_early_pre_response,participation_ratio,-0.016152957206225782,1
late_pre_response_minus_early_pre_response,pc1_explained,0.01568486932600255,2
late_pre_response_minus_early_pre_response,participation_ratio,-0.10482143146070211,2
late_pre_response_minus_mid_pre_response,pc1_explained,0.00837524492171604,2
late_pre_response_minus_mid_pre_response,participation_ratio,-0.03357328175453045,2
mid_pre_response_minus_early_pre_response,pc1_explained,0.007309624404286508,2
mid_pre_response_minus_early_pre_response,participation_ratio,-0.07124814970617166,2
late_pre_response_minus_early_pre_response,pc1_explained,-0.003473433574201934,3
late_pre_response_minus_early_pre_response,participation_ratio,0.008516533650862801,3
late_pre_response_minus_mid_pre_response,pc1_explained,-0.006068911199800242,3
late_pre_response_minus_mid_pre_response,participation_ratio,0.04675799161531691,3
mid_pre_response_minus_early_pre_response,pc1_explained,0.002595477625598308,3
mid_pre_response_minus_early_pre_response,participation_ratio,-0.038241457964454106,3
late_pre_response_minus_early_pre_response,pc1_explained,-0.010554934873277189,4
late_pre_response_minus_early_pre_response,participation_ratio,0.06025157032774153,4
late_pre_response_minus_mid_pre_response,pc1_explained,-0.01309748772161512,4
late_pre_response_minus_mid_pre_response,participation_ratio,0.05973508690565055,4
mid_pre_response_minus_early_pre_response,pc1_explained,0.002542552848337931,4
mid_pre_response_minus_early_pre_response,participation_ratio,0.0005164834220909853,4
late_pre_response_minus_early_pre_response,pc1_explained,0.004978874974617797,5
late_pre_response_minus_early_pre_response,participation_ratio,-0.024013898624414942,5
late_pre_response_minus_mid_pre_response,pc1_explained,-0.009676570186721078,5
late_pre_response_minus_mid_pre_response,participation_ratio,0.06210609020982627,5
mid_pre_response_minus_early_pre_response,pc1_explained,0.014655445161338876,5
mid_pre_response_minus_early_pre_response,participation_ratio,-0.08611998883424121,5
late_pre_response_minus_early_pre_response,pc1_explained,-0.015804972874522427,6
late_pre_response_minus_early_pre_response,participation_ratio,0.10143325917078982,6
late_pre_response_minus_mid_pre_response,pc1_explained,-0.021904115732035212,6
late_pre_response_minus_mid_pre_response,participation_ratio,0.13100182683913353,6
mid_pre_response_minus_early_pre_response,pc1_explained,0.006099142857512785,6
mid_pre_response_minus_early_pre_response,participation_ratio,-0.029568567668343704,6
late_pre_response_minus_early_pre_response,pc1_explained,-0.0034497758012104196,7
late_pre_response_minus_early_pre_response,participation_ratio,0.022379520951261167,7
late_pre_response_minus_mid_pre_response,pc1_explained,-0.0004929780686960816,7
late_pre_response_minus_mid_pre_response,participation_ratio,0.016919220690780445,7
mid_pre_response_minus_early_pre_response,pc1_explained,-0.002956797732514338,7
mid_pre_response_minus_early_pre_response,participation_ratio,0.005460300260480722,7
late_pre_response_minus_early_pre_response,pc1_explained,-0.0073014961608677265,8
late_pre_response_minus_early_pre_response,participation_ratio,0.02650274629174687,8
late_pre_response_minus_mid_pre_response,pc1_explained,-0.003743963064013922,8
late_pre_response_minus_mid_pre_response,participation_ratio,0.017023430728301037,8
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0035575330968538044,8
mid_pre_response_minus_early_pre_response,participation_ratio,0.009479315563445834,8
late_pre_response_minus_early_pre_response,pc1_explained,0.002632681377261359,9
late_pre_response_minus_early_pre_response,participation_ratio,-0.01999672876350056,9
late_pre_response_minus_mid_pre_response,pc1_explained,-0.02925781683634887,9
late_pre_response_minus_mid_pre_response,participation_ratio,0.13497253571271717,9
mid_pre_response_minus_early_pre_response,pc1_explained,0.03189049821361023,9
mid_pre_response_minus_early_pre_response,participation_ratio,-0.15496926447621773,9
late_pre_response_minus_early_pre_response,pc1_explained,-0.010528311984959737,10
late_pre_response_minus_early_pre_response,participation_ratio,0.03856472567170277,10
late_pre_response_minus_mid_pre_response,pc1_explained,-0.014258648599035917,10
late_pre_response_minus_mid_pre_response,participation_ratio,0.07092841297825458,10
mid_pre_response_minus_early_pre_response,pc1_explained,0.0037303366140761796,10
mid_pre_response_minus_early_pre_response,participation_ratio,-0.032363687306551814,10
late_pre_response_minus_early_pre_response,pc1_explained,0.0259734219651917,11
late_pre_response_minus_early_pre_response,participation_ratio,-0.1436918963319691,11
late_pre_response_minus_mid_pre_response,pc1_explained,0.02651059420851498,11
late_pre_response_minus_mid_pre_response,participation_ratio,-0.1401561900093733,11
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0005371722433232806,11
mid_pre_response_minus_early_pre_response,participation_ratio,-0.0035357063225958107,11
late_pre_response_minus_early_pre_response,pc1_explained,-0.01700170608101681,12
late_pre_response_minus_early_pre_response,participation_ratio,0.06053822073564197,12
late_pre_response_minus_mid_pre_response,pc1_explained,-0.008578485465276953,12
late_pre_response_minus_mid_pre_response,participation_ratio,0.03676334307363138,12
mid_pre_response_minus_early_pre_response,pc1_explained,-0.008423220615739857,12
mid_pre_response_minus_early_pre_response,participation_ratio,0.023774877662010585,12
late_pre_response_minus_early_pre_response,pc1_explained,-0.002518426911031657,13
late_pre_response_minus_early_pre_response,participation_ratio,0.03969404004984112,13
late_pre_response_minus_mid_pre_response,pc1_explained,0.004065527239933364,13
late_pre_response_minus_mid_pre_response,participation_ratio,-0.011564540850552696,13
mid_pre_response_minus_early_pre_response,pc1_explained,-0.006583954150965021,13
mid_pre_response_minus_early_pre_response,participation_ratio,0.05125858090039381,13
late_pre_response_minus_early_pre_response,pc1_explained,-0.017529060556142784,14
late_pre_response_minus_early_pre_response,participation_ratio,0.08167658264581013,14
late_pre_response_minus_mid_pre_response,pc1_explained,-0.025054192437616196,14
late_pre_response_minus_mid_pre_response,participation_ratio,0.11178948950759837,14
mid_pre_response_minus_early_pre_response,pc1_explained,0.0075251318814734125,14
mid_pre_response_minus_early_pre_response,participation_ratio,-0.030112906861788247,14
late_pre_response_minus_early_pre_response,pc1_explained,0.031001310938768456,15
late_pre_response_minus_early_pre_response,participation_ratio,-0.13466398534518564,15
late_pre_response_minus_mid_pre_response,pc1_explained,0.016265615500136166,15
late_pre_response_minus_mid_pre_response,participation_ratio,-0.07310820980980637,15
mid_pre_response_minus_early_pre_response,pc1_explained,0.01473569543863229,15
mid_pre_response_minus_early_pre_response,participation_ratio,-0.061555775535379276,15
