run_id,stage,run_dir,max_epochs,corr,slope_corr,amp_ratio,mse,late_err,score,param_seed,param_batch_size,param_learning_rate,param_weight_decay,param_gradient_clip,param_max_epochs,param_early_stopping_patience,param_projection_dim,param_hidden_dim,param_num_layers,param_future_horizon_ms,param_lambda_future,param_lambda_recon,param_lambda_derivative,param_lambda_variance,param_lambda_cpp_mean,param_lambda_cpp_prior,param_lambda_monotonic,param_lambda_slope_floor,param_lambda_late_amplitude,param_lambda_cpp_mean_alignment,param_lambda_smooth,param_future_weight_scale,param_slope_floor_ratio,param_enable_cpp_shape_prior,param_train_fraction,param_val_fraction,param_test_fraction,param_analysis_window_ms,param_early_window_ms,param_mid_window_ms,param_late_window_ms,test_total_loss,source_short_run
long_002,long,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/long_002,50,0.9898958621102802,0.9719325117206082,0.9911271929740906,0.0004376351134851575,0.016760528087615967,0.8354689768046464,42,32,0.001,0.0001,1.0,50,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,4.0,0.05,0.001,0.75,0.5,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.1820266917347908,run_011
long_000,long,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/long_000,50,0.9885877582767466,0.968700038337608,0.9828506112098694,0.0005625187186524272,0.02365010976791382,0.8317870982243505,42,32,0.001,0.0001,1.0,50,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,2.0,0.05,0.001,0.75,0.4,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.18113292008638382,run_006
long_001,long,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/long_001,50,0.9887690648590969,0.9689283476133347,0.9853277206420898,0.0007303303573280573,0.031488314270973206,0.8316199090304266,42,32,0.001,0.0001,1.0,50,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,2.0,0.05,0.001,0.75,0.5,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.17819294333457947,run_007
run_006,short,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/run_006,8,0.8099128276462804,0.6608001299045007,0.7029585838317871,0.007673284504562616,0.0050285011529922485,0.6288703659604673,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,2.0,0.05,0.001,0.75,0.4,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.666631668806076,
run_007,short,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/run_007,8,0.8099125098017822,0.660799722221712,0.702960193157196,0.007673283573240042,0.005029529333114624,0.6288703559956067,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,2.0,0.05,0.001,0.75,0.5,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.6666263937950134,
run_011,short,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/run_011,8,0.8104688192652847,0.6610430576984899,0.7030966281890869,0.007925682701170444,0.010557875037193298,0.6286155461297759,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,4.0,0.05,0.001,0.75,0.5,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.6779026985168457,
run_010,short,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/run_010,8,0.810467659358816,0.6610419508889889,0.7030951380729675,0.007925781421363354,0.010559171438217163,0.6286143728654774,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,4.0,0.05,0.001,0.75,0.4,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.6779086291790009,
run_003,short,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/run_003,8,0.8097144591245797,0.6608398892253768,0.7024815678596497,0.007731104735285044,0.013662353157997131,0.6278392789755421,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,1.0,0.05,0.001,0.75,0.5,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.6606959104537964,
run_002,short,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/run_002,8,0.8097126238191579,0.6608372867850972,0.7024834752082825,0.0077310786582529545,0.01365712285041809,0.6278388000476396,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.05,1.0,0.5,1.0,0.05,0.001,0.75,0.4,True,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.6607033908367157,
baseline,baseline,/Users/siyu/Documents/GitHub/biiigProject/stage2_YuYNet/evidence/sweep_cpp_prior/baseline,8,0.8070242810988639,0.6545093496483669,0.7214186787605286,0.008056498132646084,0.026389047503471375,0.6276790559467635,42,32,0.001,0.0001,1.0,8,5,16,32,1,50,0.2,1.0,0.5,0.5,0.5,0.1,1.0,0.5,1.0,0.05,0.001,0.75,0.5,False,0.7,0.15,0.15,"(-600.0, -50.0)","(-600.0, -300.0)","(-300.0, -120.0)","(-120.0, -50.0)",0.6048870384693146,
