,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,subj_id
0,1.0,0.72165,1,2,2,1,1,1,1,True,sub-STSWD1117,33964,8,33964.0,sub-STSWD1117
1,1.0,0.82361,2,2,2,1,1,1,1,True,sub-STSWD1117,36396,8,36396.0,sub-STSWD1117
2,0.0,1.4884,2,2,1,1,1,1,1,True,sub-STSWD1117,41260,8,41260.0,sub-STSWD1117
3,0.0,0.92432,2,2,1,1,1,1,1,True,sub-STSWD1117,43692,8,43692.0,sub-STSWD1117
4,1.0,1.1923,1,2,1,1,1,1,1,True,sub-STSWD1117,46124,8,46124.0,sub-STSWD1117
5,1.0,1.2142,2,2,1,1,1,1,1,True,sub-STSWD1117,48556,8,48556.0,sub-STSWD1117
6,1.0,0.93956,1,2,2,1,1,1,1,True,sub-STSWD1117,50992,8,50992.0,sub-STSWD1117
7,1.0,0.61344,2,1,1,1,1,1,1,True,sub-STSWD1117,55472,8,55472.0,sub-STSWD1117
8,1.0,0.35636,2,1,2,1,1,1,1,True,sub-STSWD1117,57904,8,57904.0,sub-STSWD1117
9,1.0,0.55931,2,1,2,1,1,1,1,True,sub-STSWD1117,60336,8,60336.0,sub-STSWD1117
10,1.0,0.36126,2,1,2,1,1,1,1,True,sub-STSWD1117,62768,8,62768.0,sub-STSWD1117
11,1.0,0.53218,2,1,1,1,1,1,1,True,sub-STSWD1117,65200,8,65200.0,sub-STSWD1117
12,1.0,0.30308,2,1,2,1,1,1,1,True,sub-STSWD1117,67632,8,67632.0,sub-STSWD1117
13,1.0,0.37306,2,1,1,1,1,1,1,True,sub-STSWD1117,70064,8,70064.0,sub-STSWD1117
14,1.0,0.33796,2,1,2,1,1,1,1,True,sub-STSWD1117,72496,8,72496.0,sub-STSWD1117
15,1.0,1.2271,4,3,2,1,1,1,1,True,sub-STSWD1117,76976,8,76976.0,sub-STSWD1117
16,1.0,1.089,1,3,1,1,1,1,1,True,sub-STSWD1117,79407,8,79407.0,sub-STSWD1117
17,1.0,0.68574,1,3,2,1,1,1,1,True,sub-STSWD1117,81839,8,81839.0,sub-STSWD1117
18,0.0,1.1926,3,3,1,1,1,1,1,True,sub-STSWD1117,86703,8,86703.0,sub-STSWD1117
19,1.0,1.2944,4,3,1,1,1,1,1,True,sub-STSWD1117,91567,8,91567.0,sub-STSWD1117
20,1.0,0.64042,4,3,2,1,1,1,1,True,sub-STSWD1117,93999,8,93999.0,sub-STSWD1117
21,0.0,1.1713,2,4,1,1,1,1,1,True,sub-STSWD1117,98479,8,98479.0,sub-STSWD1117
22,1.0,1.0842,2,4,1,1,1,1,1,True,sub-STSWD1117,100911,8,100911.0,sub-STSWD1117
23,1.0,1.2052,2,4,1,1,1,1,1,True,sub-STSWD1117,103343,8,103343.0,sub-STSWD1117
24,,,3,4,2,1,1,1,1,True,sub-STSWD1117,105775,8,,sub-STSWD1117
25,0.0,0.976,3,4,1,1,1,1,1,True,sub-STSWD1117,108207,8,108207.0,sub-STSWD1117
26,1.0,0.94196,4,4,2,1,1,1,1,True,sub-STSWD1117,110639,8,110639.0,sub-STSWD1117
27,1.0,0.62813,1,4,2,1,1,1,1,True,sub-STSWD1117,113071,8,113071.0,sub-STSWD1117
28,1.0,1.0548,1,4,1,1,1,1,1,True,sub-STSWD1117,115503,8,115503.0,sub-STSWD1117
29,0.0,0.51561,1,3,1,1,1,1,1,True,sub-STSWD1117,119983,8,119983.0,sub-STSWD1117
30,1.0,1.2296,2,3,1,1,1,1,1,True,sub-STSWD1117,122415,8,122415.0,sub-STSWD1117
31,1.0,0.83454,1,3,2,1,1,1,1,True,sub-STSWD1117,124847,8,124847.0,sub-STSWD1117
32,1.0,0.82348,1,3,1,1,1,1,1,True,sub-STSWD1117,127279,8,127279.0,sub-STSWD1117
33,1.0,0.70839,1,3,1,1,1,1,1,True,sub-STSWD1117,129711,8,129711.0,sub-STSWD1117
34,1.0,0.79539,1,3,2,1,1,1,1,True,sub-STSWD1117,132143,8,132143.0,sub-STSWD1117
35,1.0,1.2483,2,3,1,1,1,1,1,True,sub-STSWD1117,134575,8,134575.0,sub-STSWD1117
