time_ms,latent,correlation_with_log_rt
-1000.0,z1,0.02514301062055368
-996.0911865234375,z1,0.03691375227050565
-992.1824340820312,z1,0.03734352873223254
-988.2736206054688,z1,0.03525027034724676
-984.3648071289062,z1,0.03355991025812574
-980.4560546875,z1,0.03224469634583244
-976.5472412109375,z1,0.030993848560380028
-972.638427734375,z1,0.029378380175921957
-968.7296142578125,z1,0.02729624915051518
-964.8208618164062,z1,0.02540280873993088
-960.9120483398438,z1,0.02393526528526913
-957.0032348632812,z1,0.022836128148457015
-953.094482421875,z1,0.021390336302622746
-949.1856689453125,z1,0.01911252353390186
-945.27685546875,z1,0.01660056747864252
-941.3681030273438,z1,0.01445516906928127
-937.4592895507812,z1,0.013072173255831246
-933.5504760742188,z1,0.012140021177395264
-929.6417236328125,z1,0.010917985068711895
-925.73291015625,z1,0.00906417575105087
-921.8240966796875,z1,0.006769591395893098
-917.915283203125,z1,0.004561843203899335
-914.0065307617188,z1,0.0021501877157820877
-910.0977172851562,z1,-0.0010634205064271385
-906.1889038085938,z1,-0.004948658815782153
-902.2801513671875,z1,-0.009464253427644849
-898.371337890625,z1,-0.013603517690554357
-894.4625244140625,z1,-0.016634238538033145
-890.5537719726562,z1,-0.019367227237084946
-886.6449584960938,z1,-0.022667827499750645
-882.7361450195312,z1,-0.02662792507492613
-878.8273315429688,z1,-0.031226044645728503
-874.9185791015625,z1,-0.03610615339565283
-871.009765625,z1,-0.040429503275483177
-867.1009521484375,z1,-0.043712165266599864
-863.1921997070312,z1,-0.045642123214003
-859.2833862304688,z1,-0.046354894466760665
-855.3745727539062,z1,-0.04612219416107314
-851.4658203125,z1,-0.045147872542892695
-847.5570068359375,z1,-0.04389814781274475
-843.648193359375,z1,-0.043458817355418476
-839.7394409179688,z1,-0.043750908734774496
-835.8306274414062,z1,-0.044320005884901426
-831.9218139648438,z1,-0.04529732054996891
-828.0130004882812,z1,-0.04694926951403384
-824.104248046875,z1,-0.0493681160893468
-820.1954345703125,z1,-0.052250803161393994
-816.28662109375,z1,-0.054701600626856035
-812.3778686523438,z1,-0.056630876515715176
-808.4690551757812,z1,-0.05892691669779848
-804.5602416992188,z1,-0.06152890301177203
-800.6514892578125,z1,-0.06463684489351072
-796.74267578125,z1,-0.06777091182589377
-792.8338623046875,z1,-0.07056732183283565
-788.9251098632812,z1,-0.0732305784101907
-785.0162963867188,z1,-0.07625434749160402
-781.1074829101562,z1,-0.07987592170904659
-777.1986694335938,z1,-0.0844149868879269
-773.2899169921875,z1,-0.0893363303276153
-769.381103515625,z1,-0.09384149557469822
-765.4722900390625,z1,-0.09768205157366047
-761.5635375976562,z1,-0.10014405524269289
-757.6547241210938,z1,-0.10074959965479997
-753.7459106445312,z1,-0.09978724547853782
-749.837158203125,z1,-0.0978707503328324
-745.9283447265625,z1,-0.09670369984423811
-742.01953125,z1,-0.09765370686960739
-738.1107788085938,z1,-0.10040952306233986
-734.2019653320312,z1,-0.1037121641049321
-730.2931518554688,z1,-0.10598726207548907
-726.3843383789062,z1,-0.10649329004174983
-722.4755859375,z1,-0.10543013321756028
-718.5667724609375,z1,-0.10379851765954418
-714.657958984375,z1,-0.103017942895809
-710.7492065429688,z1,-0.10388337579789096
-706.8403930664062,z1,-0.10556430401637011
-702.9315795898438,z1,-0.10629561373668715
-699.0228271484375,z1,-0.10460182497502174
-695.114013671875,z1,-0.10095352410664078
-691.2052001953125,z1,-0.09690428924928211
-687.29638671875,z1,-0.09365753284169562
-683.3876342773438,z1,-0.09197817662062971
-679.4788208007812,z1,-0.0916194882145467
-675.5700073242188,z1,-0.09243214843539062
-671.6612548828125,z1,-0.09445672397322041
-667.75244140625,z1,-0.0966152119300873
-663.8436279296875,z1,-0.09778037711096142
-659.9348754882812,z1,-0.09792544726906363
-656.0260620117188,z1,-0.09722694944736539
-652.1172485351562,z1,-0.09537468002296313
-648.20849609375,z1,-0.09313214610960359
-644.2996826171875,z1,-0.09193372489337608
-640.390869140625,z1,-0.09258428068862928
-636.4820556640625,z1,-0.09443771050412271
-632.5733032226562,z1,-0.09635969754097919
-628.6644897460938,z1,-0.09764719182036372
-624.7556762695312,z1,-0.09758535330494165
-620.846923828125,z1,-0.09561756777336909
-616.9381103515625,z1,-0.0926412920263899
-613.029296875,z1,-0.09051648378640409
-609.1205444335938,z1,-0.08990462204868008
-605.2117309570312,z1,-0.08984985310228691
-601.3029174804688,z1,-0.08907239113106125
-597.3941650390625,z1,-0.08701937315091703
-593.4853515625,z1,-0.08324791773332815
-589.5765380859375,z1,-0.07808508895617067
-585.667724609375,z1,-0.07213167428932406
-581.7589721679688,z1,-0.06658257696654775
-577.8501586914062,z1,-0.06304066783199958
-573.9413452148438,z1,-0.06164900871778153
-570.0325927734375,z1,-0.06109269303045577
-566.123779296875,z1,-0.0608877638719771
-562.2149658203125,z1,-0.06054019374130586
-558.3062133789062,z1,-0.05938971447248836
-554.3973999023438,z1,-0.05757554567037322
-550.4885864257812,z1,-0.05551496324061245
-546.579833984375,z1,-0.05313103937241775
-542.6710205078125,z1,-0.05078894198832203
-538.76220703125,z1,-0.04844451367895979
-534.8533935546875,z1,-0.04510543723609463
-530.9446411132812,z1,-0.04038711832028811
-527.0358276367188,z1,-0.034945962056187475
-523.1270141601562,z1,-0.029622543805279566
-519.21826171875,z1,-0.02532612531776507
-515.3094482421875,z1,-0.02213685087404444
-511.4006652832031,z1,-0.019430658348011234
-507.4918518066406,z1,-0.016366805317480988
-503.58306884765625,z1,-0.012577070320141197
-499.67425537109375,z1,-0.008843772977369276
-495.7654724121094,z1,-0.005874032259608966
-491.856689453125,z1,-0.003486979546049268
-487.9478759765625,z1,-0.0013182950384935653
-484.0390930175781,z1,0.0010189659219409226
-480.1302795410156,z1,0.003577926261187923
-476.22149658203125,z1,0.005883925923355436
-472.3127136230469,z1,0.007701257641137507
-468.4039001464844,z1,0.00925864173192997
-464.4951171875,z1,0.01106291448285898
-460.5863342285156,z1,0.013398149340931538
-456.6775207519531,z1,0.016118352342492114
-452.76873779296875,z1,0.018487663289464627
-448.85992431640625,z1,0.020331027543910148
-444.9511413574219,z1,0.022264799238332644
-441.0423583984375,z1,0.024985482367528677
-437.133544921875,z1,0.028529896417245206
-433.2247619628906,z1,0.03303617599881885
-429.3159484863281,z1,0.03874853349781799
-425.40716552734375,z1,0.04553332035528613
-421.4983825683594,z1,0.05224630289368981
-417.5895690917969,z1,0.05784857849672085
-413.6807861328125,z1,0.06216986886946853
-409.77197265625,z1,0.06548151905419602
-405.8631896972656,z1,0.06758483431416996
-401.95440673828125,z1,0.06810169851098274
-398.04559326171875,z1,0.06704679412498364
