window,contrast,mean_delta_r2,ci_lower,ci_upper,n_folds
early (-600 to -300 ms),baseline+z - baseline,0.03396129766950342,0.01261946412573065,0.05243755385559066,5
early (-600 to -300 ms),baseline+shuffled-z - baseline,-0.00022885360097553155,-0.0015443025346797423,0.0008122959719890188,5
early (-600 to -300 ms),baseline+cpp+z - baseline+cpp,0.017531131425375525,0.006668546575788326,0.028739911169799636,5
mid (-300 to -120 ms),baseline+z - baseline,0.0005281764032027513,-0.03428542510427468,0.026725569862851926,5
mid (-300 to -120 ms),baseline+shuffled-z - baseline,-0.0007863153127930289,-0.0014143484244637072,-0.00020931414188591902,5
mid (-300 to -120 ms),baseline+cpp+z - baseline+cpp,0.00519569397770765,-0.0014943525344442766,0.014473101348393348,5
late (-120 to -50 ms),baseline+z - baseline,0.010197875652032562,-0.025458164320810828,0.03173786999113761,5
late (-120 to -50 ms),baseline+shuffled-z - baseline,-0.0015210160121767124,-0.0020870791358060803,-0.0007913833382336311,5
late (-120 to -50 ms),baseline+cpp+z - baseline+cpp,-0.001446232988058882,-0.005023328626792578,0.0033598517697994044,5
full (-600 to -50 ms),baseline+z - baseline,-0.003368126803673377,-0.039250096553997915,0.021780954170276347,5
full (-600 to -50 ms),baseline+shuffled-z - baseline,-0.0006933697123078231,-0.001750069102244245,9.38105097323172e-05,5
full (-600 to -50 ms),baseline+cpp+z - baseline+cpp,0.0004717956730019068,-0.016819920512241248,0.01294871341436037,5
