window,model,fold,feature,coefficient
early (-600 to -300 ms),baseline,1,baseline_0,0.0617295578122139
early (-600 to -300 ms),baseline,1,baseline_1,-0.024281766265630722
early (-600 to -300 ms),baseline,1,baseline_2,-0.03790966048836708
early (-600 to -300 ms),baseline,1,baseline_3,0.010262759402394295
early (-600 to -300 ms),baseline,1,baseline_4,0.02765076421201229
early (-600 to -300 ms),baseline,2,baseline_0,0.06324616074562073
early (-600 to -300 ms),baseline,2,baseline_1,-0.030450468882918358
early (-600 to -300 ms),baseline,2,baseline_2,-0.04172833263874054
early (-600 to -300 ms),baseline,2,baseline_3,0.0073680756613612175
early (-600 to -300 ms),baseline,2,baseline_4,0.021540755406022072
early (-600 to -300 ms),baseline,3,baseline_0,0.057623762637376785
early (-600 to -300 ms),baseline,3,baseline_1,-0.029849091544747353
early (-600 to -300 ms),baseline,3,baseline_2,-0.03982638567686081
early (-600 to -300 ms),baseline,3,baseline_3,0.008424388244748116
early (-600 to -300 ms),baseline,3,baseline_4,0.02450511045753956
early (-600 to -300 ms),baseline,4,baseline_0,0.0588718019425869
early (-600 to -300 ms),baseline,4,baseline_1,-0.027555063366889954
early (-600 to -300 ms),baseline,4,baseline_2,-0.03795412927865982
early (-600 to -300 ms),baseline,4,baseline_3,0.010856512933969498
early (-600 to -300 ms),baseline,4,baseline_4,0.02143324539065361
early (-600 to -300 ms),baseline,5,baseline_0,0.06339418143033981
early (-600 to -300 ms),baseline,5,baseline_1,-0.028032254427671432
early (-600 to -300 ms),baseline,5,baseline_2,-0.034060049802064896
early (-600 to -300 ms),baseline,5,baseline_3,0.011928974650800228
early (-600 to -300 ms),baseline,5,baseline_4,0.02484026737511158
early (-600 to -300 ms),z-only,1,z1_mean,-0.07025618851184845
early (-600 to -300 ms),z-only,1,z2_mean,-0.07100962102413177
early (-600 to -300 ms),z-only,1,z3_mean,6.797630339860916e-05
early (-600 to -300 ms),z-only,1,z4_mean,-0.09966852515935898
early (-600 to -300 ms),z-only,1,z5_mean,0.10132631659507751
early (-600 to -300 ms),z-only,2,z1_mean,-0.06470276415348053
early (-600 to -300 ms),z-only,2,z2_mean,-0.07098858058452606
early (-600 to -300 ms),z-only,2,z3_mean,-0.002635427750647068
early (-600 to -300 ms),z-only,2,z4_mean,-0.10510657727718353
early (-600 to -300 ms),z-only,2,z5_mean,0.10525772720575333
early (-600 to -300 ms),z-only,3,z1_mean,-0.05220777541399002
early (-600 to -300 ms),z-only,3,z2_mean,-0.0692560225725174
early (-600 to -300 ms),z-only,3,z3_mean,-0.003347371704876423
early (-600 to -300 ms),z-only,3,z4_mean,-0.08952515572309494
early (-600 to -300 ms),z-only,3,z5_mean,0.09074291586875916
early (-600 to -300 ms),z-only,4,z1_mean,-0.05858892947435379
early (-600 to -300 ms),z-only,4,z2_mean,-0.071244016289711
early (-600 to -300 ms),z-only,4,z3_mean,-0.0036578429862856865
early (-600 to -300 ms),z-only,4,z4_mean,-0.10145336389541626
early (-600 to -300 ms),z-only,4,z5_mean,0.09929539263248444
early (-600 to -300 ms),z-only,5,z1_mean,-0.09676691889762878
early (-600 to -300 ms),z-only,5,z2_mean,-0.09022646397352219
early (-600 to -300 ms),z-only,5,z3_mean,0.017531560733914375
early (-600 to -300 ms),z-only,5,z4_mean,-0.1594759225845337
early (-600 to -300 ms),z-only,5,z5_mean,0.15077653527259827
early (-600 to -300 ms),baseline+z,1,baseline_0,0.059602703899145126
early (-600 to -300 ms),baseline+z,1,baseline_1,-0.023493437096476555
early (-600 to -300 ms),baseline+z,1,baseline_2,-0.03756114840507507
early (-600 to -300 ms),baseline+z,1,baseline_3,0.009568228386342525
early (-600 to -300 ms),baseline+z,1,baseline_4,0.026371143758296967
early (-600 to -300 ms),baseline+z,1,z1_mean,-0.05599246174097061
early (-600 to -300 ms),baseline+z,1,z2_mean,-0.06148936599493027
early (-600 to -300 ms),baseline+z,1,z3_mean,0.000169362872838974
early (-600 to -300 ms),baseline+z,1,z4_mean,-0.08298344165086746
early (-600 to -300 ms),baseline+z,1,z5_mean,0.08354578912258148
early (-600 to -300 ms),baseline+z,2,baseline_0,0.06001102179288864
early (-600 to -300 ms),baseline+z,2,baseline_1,-0.028681475669145584
early (-600 to -300 ms),baseline+z,2,baseline_2,-0.04021250456571579
early (-600 to -300 ms),baseline+z,2,baseline_3,0.0068641407415270805
early (-600 to -300 ms),baseline+z,2,baseline_4,0.021083887666463852
early (-600 to -300 ms),baseline+z,2,z1_mean,-0.05019231513142586
early (-600 to -300 ms),baseline+z,2,z2_mean,-0.061755917966365814
early (-600 to -300 ms),baseline+z,2,z3_mean,-0.004749022424221039
early (-600 to -300 ms),baseline+z,2,z4_mean,-0.08751165866851807
early (-600 to -300 ms),baseline+z,2,z5_mean,0.08860941976308823
early (-600 to -300 ms),baseline+z,3,baseline_0,0.056700751185417175
early (-600 to -300 ms),baseline+z,3,baseline_1,-0.0284426212310791
early (-600 to -300 ms),baseline+z,3,baseline_2,-0.038648124784231186
early (-600 to -300 ms),baseline+z,3,baseline_3,0.008374925702810287
early (-600 to -300 ms),baseline+z,3,baseline_4,0.02362746000289917
early (-600 to -300 ms),baseline+z,3,z1_mean,-0.03680016100406647
early (-600 to -300 ms),baseline+z,3,z2_mean,-0.059951506555080414
early (-600 to -300 ms),baseline+z,3,z3_mean,-0.005068089812994003
early (-600 to -300 ms),baseline+z,3,z4_mean,-0.07262019068002701
early (-600 to -300 ms),baseline+z,3,z5_mean,0.07355576008558273
early (-600 to -300 ms),baseline+z,4,baseline_0,0.05567212402820587
early (-600 to -300 ms),baseline+z,4,baseline_1,-0.025895865634083748
early (-600 to -300 ms),baseline+z,4,baseline_2,-0.036761097609996796
early (-600 to -300 ms),baseline+z,4,baseline_3,0.009274070151150227
early (-600 to -300 ms),baseline+z,4,baseline_4,0.020671766251325607
early (-600 to -300 ms),baseline+z,4,z1_mean,-0.04211389273405075
