window,model,fold,r2,corr,alpha,n_train,n_test,delta_vs_baseline,delta_vs_cpp
early (-600 to -300 ms),baseline,1,0.05982667900902339,0.26500081056455377,164.130719537513,5863,1434,0.0,-0.0806198416509506
early (-600 to -300 ms),baseline,2,0.07529404398341111,0.27944672740635135,57.476944248353526,5754,1543,0.0,-0.05071060095381408
early (-600 to -300 ms),baseline,3,0.06453249677493611,0.2997465557785305,126.26001098748551,5865,1432,0.0,-0.09371181171860665
early (-600 to -300 ms),baseline,4,0.13515693812584662,0.3784088381441263,126.26001098748551,5844,1453,0.0,-0.061587227166503444
early (-600 to -300 ms),baseline,5,0.06913805105983728,0.3231867971724852,164.130719537513,5862,1435,0.0,0.05772674580784054
early (-600 to -300 ms),z-only,1,0.058917288472581375,0.2787299793897572,9.162739011886732,5863,1434,-0.0009093905364420118,-0.08152923218739261
early (-600 to -300 ms),z-only,2,0.04812132654696777,0.2269233452085616,15.48365256585499,5754,1543,-0.02717271743644334,-0.07788331839025742
early (-600 to -300 ms),z-only,3,0.04046649896473842,0.24723674959561304,20.127853758499384,5865,1432,-0.024065997810197692,-0.11777780952880434
early (-600 to -300 ms),z-only,4,0.02844096847846822,0.19201444875102222,57.476944248353526,5844,1453,-0.1067159696473784,-0.16830319681388184
early (-600 to -300 ms),z-only,5,-0.03172116730023267,0.14893202640175227,20.127853758499384,5862,1435,-0.10085921836006995,-0.043132472552229406
early (-600 to -300 ms),baseline+z,1,0.12176150317864909,0.3643197085171965,15.48365256585499,5863,1434,0.0619348241696257,-0.018685017481324895
early (-600 to -300 ms),baseline+z,2,0.11575975239311642,0.34243012513858784,20.127853758499384,5754,1543,0.040465708409705314,-0.010244892544108763
early (-600 to -300 ms),baseline+z,3,0.1134587030394344,0.36374115203152446,34.013049382792495,5865,1432,0.048926206264498284,-0.04478560545410837
early (-600 to -300 ms),baseline+z,4,0.16129475974712426,0.41080060752213976,74.71670675868074,5844,1453,0.026137821621277646,-0.0354494055452258
early (-600 to -300 ms),baseline+z,5,0.06147997894224744,0.31841855691079135,20.127853758499384,5862,1435,-0.0076580721175898425,0.0500686736902507
