window,model,r2,corr
early (-600 to -300 ms),baseline,0.08826575494594868,0.29718654597365385
early (-600 to -300 ms),z-only,0.04161985786911582,0.20569750738754344
early (-600 to -300 ms),baseline+z,0.12421141422977611,0.35300185801154105
early (-600 to -300 ms),baseline+shuffled-z,0.08797329576106827,0.2966411572305917
early (-600 to -300 ms),baseline+cpp,0.13766045468984878,0.3716543929009622
early (-600 to -300 ms),baseline+cpp+z,0.15599982286421787,0.39579670253219995
mid (-300 to -120 ms),baseline,0.08826575494594868,0.29718654597365385
mid (-300 to -120 ms),z-only,-0.0017934665242000936,0.08658248464927865
mid (-300 to -120 ms),baseline+z,0.09183628573406377,0.30479945084475424
mid (-300 to -120 ms),baseline+shuffled-z,0.08755110689777179,0.29598356012659277
mid (-300 to -120 ms),baseline+cpp,0.13766045468984878,0.3716543929009622
mid (-300 to -120 ms),baseline+cpp+z,0.14351443669504715,0.37944804433089574
late (-120 to -50 ms),baseline,0.08826575494594868,0.29718654597365385
late (-120 to -50 ms),z-only,0.011481438052488913,0.12514648976036746
late (-120 to -50 ms),baseline+z,0.10109642000397934,0.31907813083987435
late (-120 to -50 ms),baseline+shuffled-z,0.08678829687803558,0.29465247232672354
late (-120 to -50 ms),baseline+cpp,0.13766045468984878,0.3716543929009622
late (-120 to -50 ms),baseline+cpp+z,0.13669257071496066,0.37059126193092456
full (-600 to -50 ms),baseline,0.08826575494594868,0.29718654597365385
full (-600 to -50 ms),z-only,-0.00509090489976094,0.08121411568598391
full (-600 to -50 ms),baseline+z,0.0878173015291569,0.2999519377338515
full (-600 to -50 ms),baseline+shuffled-z,0.08756543159986452,0.2959536640151186
full (-600 to -50 ms),baseline+cpp,0.13766045468984878,0.3716543929009622
full (-600 to -50 ms),baseline+cpp+z,0.13941338827347693,0.3750667757486593
