window,model,feature,mean,ci_lower,ci_upper
early (-600 to -300 ms),baseline+cpp+z,z1_mean,-0.011705908924341202,-0.02294149771332741,-0.003761005029082298
early (-600 to -300 ms),baseline+cpp+z,z2_mean,-0.04976287186145782,-0.056363905966281894,-0.0456918440759182
early (-600 to -300 ms),baseline+cpp+z,z3_mean,-0.03251207619905472,-0.03659118339419365,-0.026337742060422897
early (-600 to -300 ms),baseline+cpp+z,z4_mean,-0.0312783308327198,-0.04842990137636661,-0.02013208530843258
early (-600 to -300 ms),baseline+cpp+z,z5_mean,0.02901209779083729,0.018050891533493995,0.04587575532495976
early (-600 to -300 ms),baseline+z,z1_mean,-0.05427804961800575,-0.07139612138271331,-0.04160408452153206
early (-600 to -300 ms),baseline+z,z2_mean,-0.06543170809745788,-0.07458961308002472,-0.06036442369222641
early (-600 to -300 ms),baseline+z,z3_mean,0.00047723278403282164,-0.005485080182552338,0.009762260317802429
early (-600 to -300 ms),baseline+z,z4_mean,-0.09454826414585113,-0.12143728882074356,-0.07754195481538773
early (-600 to -300 ms),baseline+z,z5_mean,0.09310849606990815,0.07790225446224212,0.11651423573493958
early (-600 to -300 ms),z-only,z1_mean,-0.06850451529026032,-0.08382917493581772,-0.05709368884563446
early (-600 to -300 ms),z-only,z2_mean,-0.07454494088888168,-0.08253551870584488,-0.07000423580408097
early (-600 to -300 ms),z-only,z3_mean,0.0015917789191007615,-0.0033291714265942574,0.00980096310377121
early (-600 to -300 ms),z-only,z4_mean,-0.11104590892791748,-0.13591885555535554,-0.09502708166837692
early (-600 to -300 ms),z-only,z5_mean,0.10947977751493454,0.09535637348890305,0.13059026300907134
full (-600 to -50 ms),baseline+cpp+z,z1_mean,0.010326513089239597,-0.004884009249508381,0.020241638645529747
full (-600 to -50 ms),baseline+cpp+z,z2_mean,-0.0361516535282135,-0.04430676549673081,-0.030601783096790312
full (-600 to -50 ms),baseline+cpp+z,z3_mean,-0.03743647709488869,-0.042115054279565814,-0.03085661828517914
